id	config_name	characterModelId	defaultAni	bornShowAni	clickType	clickAniList	clickCameraList	moveDistance	cameraDistance	clickText	groupText	ActivityType	param_1	param_2	npcGrounpId	showPriority	decorationId	decorationPoint	
4002911	背心猛虎（主城展示）	4002911	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	3	英雄背心猛虎，参上。	只要有我们兄弟俩，就没有无法肃清的邪恶！	0	 	 	2,1	 	 	 
4003011	大背头男（主城展示）	4003011	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	英雄总是要挺身而出的。	 	0	 	 	 	 	 	 
4003111	嗡嗡侠（主城展示）	4003111	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	嗡嗡拳是很强的哦！	 	0	 	 	 	 	 	 
4003211	十字键（主城展示）	4003211	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	见识下我们的实力吧。	机会难得，来练习下那个吧。英雄，十字键——	0	 	 	6,1	 	 	 
4003311	电池侠（主城展示）	4003311	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	平时也要好好注意节约用电啊！	 	0	 	 	 	 	 	 
4003411	装甲股长（主城展示）	4003411	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	我的胃药放哪儿了？	 	0	 	 	 	 	 	 
4003511	丧服吊带裤（主城展示）	4003511	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	准备完毕，架势摆的刚刚好。	与英雄，丧服吊带裤——登场！！	0	 	 	6,2	 	 	 
4003611	防毒面具（主城展示）	4003611	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	臭鼬那么可爱，不许迫害它。	 	0	 	 	 	 	 	 
4003711	乌马洪（主城展示）	4003711	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	咴咴咴咴！	 	0	 	 	 	 	 	 
4003811	火男面（主城展示）	4003811	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	3	您对火男舞有兴趣吗？	 	0	 	 	 	 	 	 
4003911	音速索尼克（主城展示）	4003911	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	你能跟上我这超越音速的速度吗！	 	0	 	 	 	 	 	 
4004011	钉锤头（主城展示）	4004011	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	人为什么一定要工作？	 	0	 	 	 	 	 	 
4004111	茶岚子（主城展示）	4004111	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	我是邦古老师的首席弟子哦！	师父，您要小心啊！	0	 	 	4,1	 	 	 
4004211	超合金黑光（展示）	4004211	idle_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	 	 	0	 	 	 	 	 	 
4004311	猪神（展示）	4004311	idle_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	 	 	0	 	 	 	 	 	 
4004511	僵尸男（展示）	4004511	idle_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	 	 	0	 	 	 	 	 	 
4004711	背心尊者（展示）	4004711	idle_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	 	 	0	 	 	 	 	 	 
4004811	闪光弗莱士（展示）	4004811	idle_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	 	 	0	 	 	 	 	 	 
4004911	警犬侠（展示）	4004911	idle_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	 	 	0	 	 	 	 	 	 
4005011	杰诺斯（主城展示）	4005011	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	我日后一定会破坏掉那个暴走的改造人。	 	0	 	 	 	1,1	 	 
4005021	杰诺斯（西装）（主城展示）	4005021	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	我日后一定会破坏掉那个暴走的改造人。	 	0	 	 	 	1,1	 	 
4005111	桃源团成员A（主城展示）	4005111	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	 	 	0	 	 	 	 	 	 
4005211	桃源团成员B（主城展示）	4005211	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	 	 	0	 	 	 	 	 	 
4006011	蚊子女一阶（主城展示）	4006011	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|2,maincity_talk_end	0	9,0	2	 	 	0	 	 	 	 	 	 
4006211	阿修罗独角仙1阶（主城展示）	4006211	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|3,maincity_talk_end	0	9,0	2	 	 	0	 	 	 	 	 	 
4006411	装甲大猩猩（主城展示）	4006411	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|4,maincity_talk_end	0	9,0	2	 	 	0	 	 	 	 	 	 
4006511	兽王（主城展示）	4006511	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|5,maincity_talk_end	0	9,0	2	 	 	0	 	 	 	 	 	 
4200111	工作人员_男（主城展示）	4200111	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	请问你有什么事	 	0	 	 	 	 	 	 
4200211	工作人员_女（主城展示）	4200211	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	请问你有什么事	 	0	 	 	 	 	 	 
5200111	工作人员_男（主线）	4200111	idle_loop|1	born_show	0	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	请问你有什么事	 	0	 	 	 	 	 	 
5200211	工作人员_女（主线）	5200211	idle_loop|1	born_show	0	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	请问你有什么事	 	0	 	 	 	 	 	 
6000121	埼玉_埼玉家（睡衣）（卤蛋脸）（埼玉家）	6000121	qiyujia_idle_loop|1	 	0	 	 	 	 	 	 	1	home_action_pushup_loop,home_action_squat_loop,home_action_pushup_loop,home_action_squat_loop	 	 	 	 	 
6000421	银色獠牙（埼玉家）	6000421	qiyujia_idle_loop|1	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 
6000511	King（埼玉家）	6000511	qiyujia_idle_loop|1	 	0	 	 	 	 	 	 	0	 	 	 	 	190121000	point_qiyujia_shoubing
6002111	地狱的吹雪（埼玉家）	6002111	qiyujia_idle_loop|1	 	0	 	 	 	 	 	 	0	 	 	 	 	190081000	point_qiyujia_chabei
6004111	茶岚子（埼玉家）	6004111	qiyujia_idle_loop|1	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 
6005011	杰诺斯（普通）（埼玉家）	6005011	qiyujia_idle_loop|1	 	2	 	 	 	 	 	 	0	 	 	 	 	 	 
690041	电饭锅	190041	close_loop	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 
690061	日历	190061	idle_loop	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 
690071	埼玉玩具	190071	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 
690091	电视	190091	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 
690101	睡衣	190101	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 
7002811	无证骑士（体力3本）	4002811	idle_loop|0	born_show	0	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	 	 	2	idle_loop,idle2_loop,idle_loop,idle2_loop,idle_loop,idle2_loop,idle_loop,idle2_loop,idle_loop,idle2_loop,	 	 	 	 	 
8200211	工作人员_女（抽卡）	4200211	zhaomu_idle_loop|1	 	0	 	0	9,0	2	 	 	3	zhaomu_chouka	 	 	 	190101000	point_chouka
8200212	工作人员_女（筛选关）	4200211	zhaomu_idle_loop|1	 	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	诶？您是？	 	4	<size=38>初次见面，我是新入职的作战执行人，接下来将分担作战部署、战斗指挥等方面的工作。</size>$我$2|欢迎！来的太及时了。$协会职员A$1|<size=42>由于之前的上司旧病复发，现在这里无人指挥，正乱作一团呢……</size>$协会职员A$1|是……是吗。$我$2|	story1_wuzui_loop|zhaomu_idle_loop|zhaomu_born	 	 	190101000	point_chouka
