id	type	beizhu	para	startDialog	rightDialog	wrongDialog	dropSuccess	dropFail	basicMail	
309	1	地狱的吹雪9	309	story_dialog_lianluo_11_X	 	 	52301	52302	102
310	1	地狱的吹雪10	310	story_dialog_lianluo_11_X	 	 	52301	52302	102
401	1	青焰1	401	story_dialog_lianluo_12_X	 	 	52401	52402	102
402	1	青焰2	402	story_dialog_lianluo_12_X	 	 	52401	52402	102
403	1	青焰3	403	story_dialog_lianluo_12_X	 	 	52401	52402	102
404	1	青焰4	404	story_dialog_lianluo_12_X	 	 	52401	52402	102
405	1	青焰5	405	story_dialog_lianluo_12_X	 	 	52401	52402	102
406	1	青焰6	406	story_dialog_lianluo_12_X	 	 	52401	52402	102
407	1	青焰7	407	story_dialog_lianluo_12_X	 	 	52401	52402	102
408	1	青焰8	408	story_dialog_lianluo_12_X	 	 	52401	52402	102
409	1	青焰9	409	story_dialog_lianluo_12_X	 	 	52401	52402	102
410	1	青焰10	410	story_dialog_lianluo_12_X	 	 	52401	52402	102
501	1	黄金球1	501	story_dialog_lianluo_13_X	 	 	52501	52502	102
502	1	黄金球2	502	story_dialog_lianluo_13_X	 	 	52501	52502	102
503	1	黄金球3	503	story_dialog_lianluo_13_X	 	 	52501	52502	102
504	1	黄金球4	504	story_dialog_lianluo_13_X	 	 	52501	52502	102
505	1	黄金球5	505	story_dialog_lianluo_13_X	 	 	52501	52502	102
506	1	黄金球6	506	story_dialog_lianluo_13_X	 	 	52501	52502	102
507	1	黄金球7	507	story_dialog_lianluo_13_X	 	 	52501	52502	102
508	1	黄金球8	508	story_dialog_lianluo_13_X	 	 	52501	52502	102
509	1	黄金球9	509	story_dialog_lianluo_13_X	 	 	52501	52502	102
510	1	黄金球10	510	story_dialog_lianluo_13_X	 	 	52501	52502	102
601	1	微笑超人1	601	story_dialog_lianluo_14_X	 	 	52601	52602	102
602	1	微笑超人2	602	story_dialog_lianluo_14_X	 	 	52601	52602	102
603	1	微笑超人3	603	story_dialog_lianluo_14_X	 	 	52601	52602	102
604	1	微笑超人4	604	story_dialog_lianluo_14_X	 	 	52601	52602	102
605	1	微笑超人5	605	story_dialog_lianluo_14_X	 	 	52601	52602	102
606	1	微笑超人6	606	story_dialog_lianluo_14_X	 	 	52601	52602	102
607	1	微笑超人7	607	story_dialog_lianluo_14_X	 	 	52601	52602	102
608	1	微笑超人8	608	story_dialog_lianluo_14_X	 	 	52601	52602	102
609	1	微笑超人9	609	story_dialog_lianluo_14_X	 	 	52601	52602	102
610	1	微笑超人10	610	story_dialog_lianluo_14_X	 	 	52601	52602	102
701	1	甜心假面1	701	story_dialog_lianluo_15_X	 	 	52701	52702	102
702	1	甜心假面2	702	story_dialog_lianluo_15_X	 	 	52701	52702	102
703	1	甜心假面3	703	story_dialog_lianluo_15_X	 	 	52701	52702	102
704	1	甜心假面4	704	story_dialog_lianluo_15_X	 	 	52701	52702	102
705	1	甜心假面5	705	story_dialog_lianluo_15_X	 	 	52701	52702	102
706	1	甜心假面6	706	story_dialog_lianluo_15_X	 	 	52701	52702	102
707	1	甜心假面7	707	story_dialog_lianluo_15_X	 	 	52701	52702	102
708	1	甜心假面8	708	story_dialog_lianluo_15_X	 	 	52701	52702	102
709	1	甜心假面9	709	story_dialog_lianluo_15_X	 	 	52701	52702	102
710	1	甜心假面10	710	story_dialog_lianluo_15_X	 	 	52701	52702	102
801	1	杰诺斯1	801	story_dialog_lianluo_16_X	 	 	52801	52802	102
802	1	杰诺斯2	802	story_dialog_lianluo_16_X	 	 	52801	52802	102
803	1	杰诺斯3	803	story_dialog_lianluo_16_X	 	 	52801	52802	102
804	1	杰诺斯4	804	story_dialog_lianluo_16_X	 	 	52801	52802	102
805	1	杰诺斯5	805	story_dialog_lianluo_16_X	 	 	52801	52802	0
806	1	杰诺斯6	806	story_dialog_lianluo_16_X	 	 	52801	52802	0
807	1	杰诺斯7	807	story_dialog_lianluo_16_X	 	 	52801	52802	0
808	1	杰诺斯8	808	story_dialog_lianluo_16_X	 	 	52801	52802	0
809	1	杰诺斯9	809	story_dialog_lianluo_16_X	 	 	52801	52802	0
810	1	杰诺斯10	810	story_dialog_lianluo_16_X	 	 	52801	52802	0
901	1	杰诺斯武装1	901	story_dialog_lianluo_17_X	 	 	52901	52902	0
902	1	杰诺斯武装2	902	story_dialog_lianluo_17_X	 	 	52901	52902	0
903	1	杰诺斯武装3	903	story_dialog_lianluo_17_X	 	 	52901	52902	102
904	1	杰诺斯武装4	904	story_dialog_lianluo_17_X	 	 	52901	52902	102
905	1	杰诺斯武装5	905	story_dialog_lianluo_17_X	 	 	52901	52902	102
906	1	杰诺斯武装6	906	story_dialog_lianluo_17_X	 	 	52901	52902	0
907	1	杰诺斯武装7	907	story_dialog_lianluo_17_X	 	 	52901	52902	0
908	1	杰诺斯武装8	908	story_dialog_lianluo_17_X	 	 	52901	52902	0
909	1	杰诺斯武装9	909	story_dialog_lianluo_17_X	 	 	52901	52902	0
910	1	杰诺斯武装10	910	story_dialog_lianluo_17_X	 	 	52901	52902	0
