id	openType	scheDuling	shopId	drop	rechargShow	sloganName	sloganBg	limitPara	rechargeShopId	refreshTime	moneyType	quantity	
503	124	2	1	20000440	20000440	0	0	50	0	0	1120103	20
504	124	2	1	20000490	20000490	0	0	20	0	0	1120103	30
505	124	2	1	20000491	20000491	0	0	10	0	0	1120103	150
506	124	2	1	20000492	20000492	0	0	30	0	0	1120103	10
507	124	2	1	20000187	20000187	0	0	1	0	0	1120103	10
601	124	3	1	20000441	20000441	0	0	20	0	0	1120103	10
602	124	3	1	20000439	20000439	0	0	50	0	0	1120103	10
603	124	3	1	20000440	20000440	0	0	50	0	0	1120103	20
604	124	3	1	20000490	20000490	0	0	20	0	0	1120103	30
605	124	3	1	20000491	20000491	0	0	10	0	0	1120103	150
606	124	3	1	20000492	20000492	0	0	30	0	0	1120103	10
607	124	3	1	20000187	20000187	0	0	1	0	0	1120103	10
701	124	4	1	20000441	20000441	0	0	20	0	0	1120103	10
702	124	4	1	20000439	20000439	0	0	50	0	0	1120103	10
703	124	4	1	20000440	20000440	0	0	50	0	0	1120103	20
704	124	4	1	20000490	20000490	0	0	20	0	0	1120103	30
705	124	4	1	20000491	20000491	0	0	10	0	0	1120103	150
706	124	4	1	20000492	20000492	0	0	30	0	0	1120103	10
707	124	4	1	20000187	20000187	0	0	1	0	0	1120103	10
801	124	5	1	20000441	20000441	0	0	20	0	0	1120103	10
802	124	5	1	20000439	20000439	0	0	50	0	0	1120103	10
803	124	5	1	20000440	20000440	0	0	50	0	0	1120103	20
804	124	5	1	20000490	20000490	0	0	20	0	0	1120103	30
805	124	5	1	20000491	20000491	0	0	10	0	0	1120103	150
806	124	5	1	20000492	20000492	0	0	30	0	0	1120103	10
807	124	5	1	20000187	20000187	0	0	1	0	0	1120103	10
901	124	6	1	20000441	20000441	0	0	20	0	0	1120103	10
902	124	6	1	20000439	20000439	0	0	50	0	0	1120103	10
903	124	6	1	20000440	20000440	0	0	50	0	0	1120103	20
904	124	6	1	20000490	20000490	0	0	20	0	0	1120103	30
905	124	6	1	20000491	20000491	0	0	10	0	0	1120103	150
906	124	6	1	20000492	20000492	0	0	30	0	0	1120103	10
907	124	6	1	20000187	20000187	0	0	1	0	0	1120103	10
1001	124	7	1	20000441	20000441	0	0	20	0	0	1120103	10
1002	124	7	1	20000439	20000439	0	0	50	0	0	1120103	10
1003	124	7	1	20000440	20000440	0	0	50	0	0	1120103	20
1004	124	7	1	20000490	20000490	0	0	20	0	0	1120103	30
1005	124	7	1	20000491	20000491	0	0	10	0	0	1120103	150
1006	124	7	1	20000492	20000492	0	0	30	0	0	1120103	10
1007	124	7	1	20000187	20000187	0	0	1	0	0	1120103	10
1101	124	8	1	20000441	20000441	0	0	20	0	0	1120103	10
1102	124	8	1	20000439	20000439	0	0	50	0	0	1120103	10
1103	124	8	1	20000440	20000440	0	0	50	0	0	1120103	20
1104	124	8	1	20000490	20000490	0	0	20	0	0	1120103	30
1105	124	8	1	20000491	20000491	0	0	10	0	0	1120103	150
1106	124	8	1	20000492	20000492	0	0	30	0	0	1120103	10
1107	124	8	1	20000187	20000187	0	0	1	0	0	1120103	10
1201	124	9	1	20000441	20000441	0	0	20	0	0	1120103	10
1202	124	9	1	20000439	20000439	0	0	50	0	0	1120103	10
1203	124	9	1	20000440	20000440	0	0	50	0	0	1120103	20
1204	124	9	1	20000490	20000490	0	0	20	0	0	1120103	30
1205	124	9	1	20000491	20000491	0	0	10	0	0	1120103	150
1206	124	9	1	20000492	20000492	0	0	30	0	0	1120103	10
1207	124	9	1	20000187	20000187	0	0	1	0	0	1120103	10
1301	124	10	1	20000441	20000441	0	0	20	0	0	1120103	10
1302	124	10	1	20000439	20000439	0	0	50	0	0	1120103	10
1303	124	10	1	20000440	20000440	0	0	50	0	0	1120103	20
1304	124	10	1	20000490	20000490	0	0	20	0	0	1120103	30
1305	124	10	1	20000491	20000491	0	0	10	0	0	1120103	150
1306	124	10	1	20000492	20000492	0	0	30	0	0	1120103	10
1307	124	10	1	20000187	20000187	0	0	1	0	0	1120103	10
1400	148	1	1	20000441	20000441	0	0	20	0	0	1120113	10
1401	148	1	1	20000439	20000439	0	0	50	0	0	1120113	10
1402	148	1	1	20000440	20000440	0	0	50	0	0	1120113	20
1403	148	1	1	20000490	20000490	0	0	20	0	0	1120113	30
1404	148	1	1	20000491	20000491	0	0	10	0	0	1120113	150
1405	148	1	1	20000492	20000492	0	0	30	0	0	1120113	10
