id	des	pointType	para	functionName	
108	十字键技能-点击敌人	2	60012	 
109	第4回合暂停对话	2	60013	 
110	第4回合杰诺斯使用技能	2	60014	 
111	杰诺斯技能-点击敌人	2	60015	 
112	第6回合暂停对话	2	60016	 
113	第6回合暂停点击S技能	2	60017	 
114	选择杰诺斯S技能	2	60018	 
115	选择目标	2	60019	 
116	出现结算	2	60020	 
117	自动战斗剧情对话1	2	10001	 
118	点击自动	2	10002	 
119	点击二倍速	2	10003	 
120	点击开战	2	10004	 
121	自动战斗剧情对话2	2	10005	 
122	点击S技能自动	2	10006	 
123	选择杰诺斯	2	10007	 
124	暂停集火	2	10008	 
125	升级前剧情对话	2	12001	 
126	点击英雄列表	2	12002	 
127	点击杰诺斯	2	12003	 
128	点击升级三次	2	12004	 
129	点击升级三次	2	12005	 
130	点击升级三次	2	12006	 
131	点击返回到英雄列表	2	12007	 
132	点击返回到异闻	2	12008	 
133	升级前剧情对话	2	61001	 
134	点击作战	2	61002	 
135	点击异闻调查	2	61003	 
136	点击英雄列表	2	61004	 
137	点击杰诺斯	2	61005	 
138	点击升级三次	2	61006	 
139	点击升级三次	2	61007	 
140	点击升级三次	2	61008	 
141	点击返回到英雄列表	2	61009	 
142	点击返回到异闻	2	61010	 
143	进考核任务对话	2	62001	 
144	点击任务	2	62002	 
145	考核任务界面中对话	2	62003	 
146	点击前往	2	62004	 
147	进考核任务对话	2	63001	 
148	点击考核任务	2	63002	 
149	考核任务界面中对话	2	63003	 
150	点击异闻调查	2	13001	 
151	备战前剧情对话	2	17001	 
152	进入模拟训练弹出提示版	2	24001	 
153	点击埼玉家	2	28001	 
154	点击锻炼	2	28002	 
155	点击开始锻炼	2	28003	 
156	点击关闭	2	28004	 
157	点击埼玉家	2	29001	 
158	点击好感度按钮	2	29002	 
159	点击宝箱领取埼玉卡片	2	29003	 
160	点击返回外出	1	30001	 
161	点击返回主城	2	30002	 
162	点击英雄列表	2	30003	 
163	点击杰诺斯	2	30004	 
164	点击觉醒	2	30005	 
165	点击觉醒1次	2	30006	 
166	觉醒成功	2	30007	 
167	点击返回到主城	2	30008	 
168	点击返回到主城	2	30009	 
169	点击英雄列表	2	99001	 
170	点击杰诺斯	2	99002	 
171	点击觉醒	2	99003	 
172	点击觉醒1次	2	99004	 
173	觉醒成功	2	99005	 
174	点击返回到主城	2	99006	 
175	点击返回到主城	2	99007	 
176	点击杰诺斯	2	106001	 
177	点击觉醒	2	106002	 
178	点击觉醒1次	2	106003	 
179	觉醒成功	2	106004	 
180	点击返回到主城	2	106005	 
181	点击外出	2	31001	 
182	点击进化之家	2	31002	 
183	弹出提示版	2	31003	 
184	点击倾向选择	2	31004	 
185	点击单人挑战	2	31005	 
186	进化之家 胜利结算节点	2	31006	 
187	点击返回主城	2	31007	 
188	点击返回主城	2	31008	 
189	点击英雄列表	2	32001	 
190	点击杰诺斯	2	32002	 
191	点击觉醒	1	32003	 
192	点击觉醒1次	2	32004	 
193	点击倾向选择	2	68001	 
194	点击单人挑战	2	68002	 
195	进化之家 胜利结算节点	2	68003	 
196	点击返回主城	2	68004	 
197	点击返回主城	2	68005	 
198	点击英雄列表	2	98001	 
199	点击杰诺斯	2	98002	 
200	点击觉醒	2	98003	 
201	点击觉醒1次	2	98004	 
202	觉醒成功	2	98005	 
203	点击觉醒1次	2	98006	 
204	点击埼玉卡片	2	33001	 
205	点击开关	2	33002	 
206	点击作战	2	34001	 
207	点击英雄联络	2	34002	 
208	弹出提示版	2	34003	 
209	弹出提示版	2	35001	 
210	点埼玉家	2	37001	 
211	点击料理	2	37002	 
212	开始烹饪	2	37003	 
213	弹出提示版	2	38001	 
214	点埼玉家	2	39001	 
215	点击小游戏	2	39002	 
216	弹出提示版	2	39003	 
217	点击治安委派	2	40001	 
218	点击委派	2	40002	 
219	考核任务界面中对话	2	40003	 
220	点击一键选择	2	40004	 
221	点击开始委派	2	40005	 
222	点击关闭	2	40006	 
223	考核任务界面中对话	2	40007	 
224	点击快速收益	2	40008	 
225	点击领取	1	40009	 
226	收益领取提示	2	40010	 
227	点击异闻调查	2	40011	 
228	点击作战	2	41001	 
229	点击治安委派	2	41002	 
230	点击委派	2	41003	 
231	考核任务界面中对话	2	41004	 
232	点击一键选择	2	41005	 
233	点击开始委派	2	41006	 
234	点击关闭	2	41007	 
235	考核任务界面中对话	2	41008	 
236	点击快速收益	2	41009	 
237	点击领取	2	41010	 
238	收益领取提示	2	41011	 
239	点击异闻调查	2	41012	 
240	点击外出	2	42001	 
241	点击英雄试炼	2	42002	 
242	点击单人挑战	2	42003	 
243	英雄试炼 胜利结算节点	2	42004	 
244	点击返回外出	2	42005	 
245	点击返回主城	2	42006	 
246	出现对话	2	43001	 
247	点击英雄列表	2	43002	 
248	点击列表中第一位	2	43003	 
249	点击源核页签	2	43004	 
250	弹出提示	2	43005	 
251	一键穿戴	2	43006	 
252	出现对话	2	43007	 
253	点击库存页签	2	43008	 
254	弹出提示	2	43009	 
255	点击拆分页签	2	43010	 
256	弹出提示	2	43011	 
257	点击英雄列表	2	44001	 
258	点击协同	2	44002	 
259	弹出提示版	2	44003	 
260	施助说明	2	44004	 
261	点击受助位1	2	44005	 
262	受助说明	2	44006	 
263	点击外出	2	45001	 
264	点击正义执行	2	45002	 
265	点击开始挑战	2	45003	 
266	点击布阵	2	45004	 
267	点击一键布阵	2	45005	 
268	点击返回	2	45006	 
269	点击协同	2	45007	 
270	点击受助位置4	2	45008	 
271	受助说明	2	45009	 
272	点击外出	2	46001	 
273	点击无人区	2	46002	 
274	弹出提示版	2	46003	 
275	点击外出	2	47001	 
276	点击强者之梦	2	47002	 
277	弹出提示版	2	47003	 
278	弹出提示版	2	48001	 
279	异闻28章节提示	2	95001	 
280	异闻29章节提示	2	96001	 
281	异闻30章节提示	2	97001	 
282	主线第2章	1	211	 
283	主线第3章	1	308	 
284	主线第4章	1	411	 
