id	description	type	school	grade	sequence	pos	suitIds	mainAttrPoolId	subAttrPoolId	subAttrUpgradePoolId	upgradeType	decomposeGold	decomposeDG	quality	lightAttrPoolId	
4105200	主核：共振	4	1	5	200	0	5	2000	0	22000	2	3500	0	2	0
4105300	主核：共振	4	1	5	300	0	5	3000	0	23000	3	4000	0	3	0
4105400	主核：共振	4	1	5	400	0	5	4000	0	24000	4	4500	0	4	0
4105500	主核：共振	4	1	5	500	0	5	5000	0	25000	5	5000	0	5	0
4106100	主核：终结	4	1	6	100	0	6	1000	0	21000	1	3000	0	1	0
4106200	主核：终结	4	1	6	200	0	6	2000	0	22000	2	3500	0	2	0
4106300	主核：终结	4	1	6	300	0	6	3000	0	23000	3	4000	0	3	0
4106400	主核：终结	4	1	6	400	0	6	4000	0	24000	4	4500	0	4	0
4106500	主核：终结	4	1	6	500	0	6	5000	0	25000	5	5000	0	5	0
4107100	主核：破甲	4	1	7	100	0	7	1000	0	21000	1	3000	0	1	0
4107200	主核：破甲	4	1	7	200	0	7	2000	0	22000	2	3500	0	2	0
4107300	主核：破甲	4	1	7	300	0	7	3000	0	23000	3	4000	0	3	0
4107400	主核：破甲	4	1	7	400	0	7	4000	0	24000	4	4500	0	4	0
4107500	主核：破甲	4	1	7	500	0	7	5000	0	25000	5	5000	0	5	0
4108100	主核：坚韧	4	1	8	100	0	8	1000	0	21000	1	3000	0	1	0
4108200	主核：坚韧	4	1	8	200	0	8	2000	0	22000	2	3500	0	2	0
4108300	主核：坚韧	4	1	8	300	0	8	3000	0	23000	3	4000	0	3	0
4108400	主核：坚韧	4	1	8	400	0	8	4000	0	24000	4	4500	0	4	0
4108500	主核：坚韧	4	1	8	500	0	8	5000	0	25000	5	5000	0	5	0
4109100	主核：钢骨	4	1	9	100	0	9	1000	0	21000	1	3000	0	1	0
4109200	主核：钢骨	4	1	9	200	0	9	2000	0	22000	2	3500	0	2	0
4109300	主核：钢骨	4	1	9	300	0	9	3000	0	23000	3	4000	0	3	0
4109400	主核：钢骨	4	1	9	400	0	9	4000	0	24000	4	4500	0	4	0
4109500	主核：钢骨	4	1	9	500	0	9	5000	0	25000	5	5000	0	5	0
4110100	主核：不屈	4	1	10	100	0	10	1000	0	21000	1	3000	0	1	0
4110200	主核：不屈	4	1	10	200	0	10	2000	0	22000	2	3500	0	2	0
4110300	主核：不屈	4	1	10	300	0	10	3000	0	23000	3	4000	0	3	0
4110400	主核：不屈	4	1	10	400	0	10	4000	0	24000	4	4500	0	4	0
4110500	主核：不屈	4	1	10	500	0	10	5000	0	25000	5	5000	0	5	0
4111100	主核：磐石	4	1	11	100	0	11	1000	0	21000	1	3000	0	1	0
4111200	主核：磐石	4	1	11	200	0	11	2000	0	22000	2	3500	0	2	0
4111300	主核：磐石	4	1	11	300	0	11	3000	0	23000	3	4000	0	3	0
4111400	主核：磐石	4	1	11	400	0	11	4000	0	24000	4	4500	0	4	0
4111500	主核：磐石	4	1	11	500	0	11	5000	0	25000	5	5000	0	5	0
4112100	主核：激励	4	1	12	100	0	12	1000	0	21000	1	3000	0	1	0
4112200	主核：激励	4	1	12	200	0	12	2000	0	22000	2	3500	0	2	0
4112300	主核：激励	4	1	12	300	0	12	3000	0	23000	3	4000	0	3	0
4112400	主核：激励	4	1	12	400	0	12	4000	0	24000	4	4500	0	4	0
4112500	主核：激励	4	1	12	500	0	12	5000	0	25000	5	5000	0	5	0
4113100	主核：守护	4	1	13	100	0	13	1000	0	21000	1	3000	0	1	0
4113200	主核：守护	4	1	13	200	0	13	2000	0	22000	2	3500	0	2	0
4113300	主核：守护	4	1	13	300	0	13	3000	0	23000	3	4000	0	3	0
4113400	主核：守护	4	1	13	400	0	13	4000	0	24000	4	4500	0	4	0
4113500	主核：守护	4	1	13	500	0	13	5000	0	25000	5	5000	0	5	0
4114100	主核：爱	4	1	14	100	0	14	1000	0	21000	1	3000	0	1	0
4114200	主核：爱	4	1	14	200	0	14	2000	0	22000	2	3500	0	2	0
4114300	主核：爱	4	1	14	300	0	14	3000	0	23000	3	4000	0	3	0
4114400	主核：爱	4	1	14	400	0	14	4000	0	24000	4	4500	0	4	0
4114500	主核：爱	4	1	14	500	0	14	5000	0	25000	5	5000	0	5	0
4115100	主核：驱散	4	1	15	100	0	15	1000	0	21000	1	3000	0	1	0
4115200	主核：驱散	4	1	15	200	0	15	2000	0	22000	2	3500	0	2	0
4115300	主核：驱散	4	1	15	300	0	15	3000	0	23000	3	4000	0	3	0
4115400	主核：驱散	4	1	15	400	0	15	4000	0	24000	4	4500	0	4	0
4115500	主核：驱散	4	1	15	500	0	15	5000	0	25000	5	5000	0	5	0
4116100	主核：制衡	4	1	16	100	0	16	1000	0	21000	1	3000	0	1	0
4116200	主核：制衡	4	1	16	200	0	16	2000	0	22000	2	3500	0	2	0
4116300	主核：制衡	4	1	16	300	0	16	3000	0	23000	3	4000	0	3	0
4116400	主核：制衡	4	1	16	400	0	16	4000	0	24000	4	4500	0	4	0
4116500	主核：制衡	4	1	16	500	0	16	5000	0	25000	5	5000	0	5	0
4117100	主核：电极火花	4	1	17	100	0	17	1000	0	21000	1	3000	0	1	0
4117200	主核：电极火花	4	1	17	200	0	17	2000	0	22000	2	3500	0	2	0
4117300	主核：电极火花	4	1	17	300	0	17	3000	0	23000	3	4000	0	3	0
4117400	主核：电极火花	4	1	17	400	0	17	4000	0	24000	4	4500	0	4	0
4117500	主核：电极火花	4	1	17	500	0	17	5000	0	25000	5	5000	0	5	0
4118100	主核：热感扫描	4	1	18	100	0	18	1000	0	21000	1	3000	0	1	0
4118200	主核：热感扫描	4	1	18	200	0	18	2000	0	22000	2	3500	0	2	0
4118300	主核：热感扫描	4	1	18	300	0	18	3000	0	23000	3	4000	0	3	0
4118400	主核：热感扫描	4	1	18	400	0	18	4000	0	24000	4	4500	0	4	0
4118500	主核：热感扫描	4	1	18	500	0	18	5000	0	25000	5	5000	0	5	0
4119100	主核：意念冠冕	4	1	19	100	0	19	1000	0	21000	1	3000	0	1	0
4119200	主核：意念冠冕	4	1	19	200	0	19	2000	0	22000	2	3500	0	2	0
4119300	主核：意念冠冕	4	1	19	300	0	19	3000	0	23000	3	4000	0	3	0
4119400	主核：意念冠冕	4	1	19	400	0	19	4000	0	24000	4	4500	0	4	0
4119500	主核：意念冠冕	4	1	19	500	0	19	5000	0	25000	5	5000	0	5	0
4120100	主核：斗志绷带	4	1	20	100	0	20	1000	0	21000	1	3000	0	1	0
4120200	主核：斗志绷带	4	1	20	200	0	20	2000	0	22000	2	3500	0	2	0
4120300	主核：斗志绷带	4	1	20	300	0	20	3000	0	23000	3	4000	0	3	0
4120400	主核：斗志绷带	4	1	20	400	0	20	4000	0	24000	4	4500	0	4	0
4120500	主核：斗志绷带	4	1	20	500	0	20	5000	0	25000	5	5000	0	5	0
4121100	主核：格斗冠军	4	1	21	100	0	21	1000	0	21000	1	3000	0	1	0
4121200	主核：格斗冠军	4	1	21	200	0	21	2000	0	22000	2	3500	0	2	0
4121300	主核：格斗冠军	4	1	21	300	0	21	3000	0	23000	3	4000	0	3	0
4121400	主核：格斗冠军	4	1	21	400	0	21	4000	0	24000	4	4500	0	4	0
4121500	主核：格斗冠军	4	1	21	500	0	21	5000	0	25000	5	5000	0	5	0
4122100	主核：英雄狩猎	4	1	22	100	0	22	1000	0	21000	1	3000	0	1	0
4122200	主核：英雄狩猎	4	1	22	200	0	22	2000	0	22000	2	3500	0	2	0
4122300	主核：英雄狩猎	4	1	22	300	0	22	3000	0	23000	3	4000	0	3	0
4122400	主核：英雄狩猎	4	1	22	400	0	22	4000	0	24000	4	4500	0	4	0
4122500	主核：英雄狩猎	4	1	22	500	0	22	5000	0	25000	5	5000	0	5	0
4123500	主核：血源核心	4	1	23	500	0	23	319001	0	320001	5	5000	0	5	0
4124500	主核：暴走因子	4	1	24	500	0	24	5000	0	25000	5	5000	0	5	0
4125300	主核：冲锋号令	4	1	25	300	0	25	3000	0	23000	3	4000	0	3	0
4125400	主核：冲锋号令	4	1	25	400	0	25	4000	0	24000	4	4500	0	4	0
4125500	主核：冲锋号令	4	1	25	500	0	25	5000	0	25000	5	5000	0	5	0
4126300	主核：烟雾屏障	4	1	26	300	0	26	3000	0	23000	3	4000	0	3	0
4126400	主核：烟雾屏障	4	1	26	400	0	26	4000	0	24000	4	4500	0	4	0
4126500	主核：烟雾屏障	4	1	26	500	0	26	5000	0	25000	5	5000	0	5	0
4127500	主核：爆破飞镖	4	1	27	500	0	27	5000	0	25000	5	5000	0	5	0
4128500	主核：重型杠铃	4	1	28	500	0	28	5000	0	25000	5	5000	0	5	0
4129500	主核：闪光发卡	4	1	29	500	0	29	5000	0	25000	5	5000	0	5	0
4201100	 	4	2	1	100	1	1	0	0	0	1	3000	0	1	0
4201200	 	4	2	1	200	1	1	0	0	0	2	3500	0	2	0
4201300	 	4	2	1	300	1	1	0	0	0	3	4000	0	3	0
4201400	 	4	2	1	400	1	1	0	0	0	4	4500	0	4	0
4201500	 	4	2	1	500	1	1	0	0	0	5	5000	0	5	0
4301100	 	4	3	1	100	2	1	0	0	0	1	3000	0	1	0
4301200	 	4	3	1	200	2	1	0	0	0	2	3500	0	2	0
4301300	 	4	3	1	300	2	1	0	0	0	3	4000	0	3	0
4301400	 	4	3	1	400	2	1	0	0	0	4	4500	0	4	0
4301500	 	4	3	1	500	2	1	0	0	0	5	5000	0	5	0
4401100	 	4	4	1	100	3	1	0	0	0	1	3000	0	1	0
4401200	 	4	4	1	200	3	1	0	0	0	2	3500	0	2	0
4401300	 	4	4	1	300	3	1	0	0	0	3	4000	0	3	0
4401400	 	4	4	1	400	3	1	0	0	0	4	4500	0	4	0
4401500	 	4	4	1	500	3	1	0	0	0	5	5000	0	5	0
4202100	 	4	2	2	100	1	2	0	0	0	1	3000	0	1	0
4202200	 	4	2	2	200	1	2	0	0	0	2	3500	0	2	0
4202300	 	4	2	2	300	1	2	0	0	0	3	4000	0	3	0
4202400	 	4	2	2	400	1	2	0	0	0	4	4500	0	4	0
4202500	 	4	2	2	500	1	2	0	0	0	5	5000	0	5	0
4302100	 	4	3	2	100	2	2	0	0	0	1	3000	0	1	0
4302200	 	4	3	2	200	2	2	0	0	0	2	3500	0	2	0
4302300	 	4	3	2	300	2	2	0	0	0	3	4000	0	3	0
4302400	 	4	3	2	400	2	2	0	0	0	4	4500	0	4	0
4302500	 	4	3	2	500	2	2	0	0	0	5	5000	0	5	0
4402100	 	4	4	2	100	3	2	0	0	0	1	3000	0	1	0
4402200	 	4	4	2	200	3	2	0	0	0	2	3500	0	2	0
4402300	 	4	4	2	300	3	2	0	0	0	3	4000	0	3	0
4402400	 	4	4	2	400	3	2	0	0	0	4	4500	0	4	0
4402500	 	4	4	2	500	3	2	0	0	0	5	5000	0	5	0
4203100	 	4	2	3	100	1	3	0	0	0	1	3000	0	1	0
4203200	 	4	2	3	200	1	3	0	0	0	2	3500	0	2	0
4203300	 	4	2	3	300	1	3	0	0	0	3	4000	0	3	0
4203400	 	4	2	3	400	1	3	0	0	0	4	4500	0	4	0
4203500	 	4	2	3	500	1	3	0	0	0	5	5000	0	5	0
4303100	 	4	3	3	100	2	3	0	0	0	1	3000	0	1	0
4303200	 	4	3	3	200	2	3	0	0	0	2	3500	0	2	0
4303300	 	4	3	3	300	2	3	0	0	0	3	4000	0	3	0
4303400	 	4	3	3	400	2	3	0	0	0	4	4500	0	4	0
4303500	 	4	3	3	500	2	3	0	0	0	5	5000	0	5	0
4403100	 	4	4	3	100	3	3	0	0	0	1	3000	0	1	0
4403200	 	4	4	3	200	3	3	0	0	0	2	3500	0	2	0
4403300	 	4	4	3	300	3	3	0	0	0	3	4000	0	3	0
4403400	 	4	4	3	400	3	3	0	0	0	4	4500	0	4	0
4403500	 	4	4	3	500	3	3	0	0	0	5	5000	0	5	0
4204100	 	4	2	4	100	1	4	0	0	0	1	3000	0	1	0
4204200	 	4	2	4	200	1	4	0	0	0	2	3500	0	2	0
4204300	 	4	2	4	300	1	4	0	0	0	3	4000	0	3	0
4204400	 	4	2	4	400	1	4	0	0	0	4	4500	0	4	0
4204500	 	4	2	4	500	1	4	0	0	0	5	5000	0	5	0
4304100	 	4	3	4	100	2	4	0	0	0	1	3000	0	1	0
4304200	 	4	3	4	200	2	4	0	0	0	2	3500	0	2	0
4304300	 	4	3	4	300	2	4	0	0	0	3	4000	0	3	0
4304400	 	4	3	4	400	2	4	0	0	0	4	4500	0	4	0
4304500	 	4	3	4	500	2	4	0	0	0	5	5000	0	5	0
4404100	 	4	4	4	100	3	4	0	0	0	1	3000	0	1	0
4404200	 	4	4	4	200	3	4	0	0	0	2	3500	0	2	0
4404300	 	4	4	4	300	3	4	0	0	0	3	4000	0	3	0
4404400	 	4	4	4	400	3	4	0	0	0	4	4500	0	4	0
4404500	 	4	4	4	500	3	4	0	0	0	5	5000	0	5	0
4205100	 	4	2	5	100	1	5	0	0	0	1	3000	0	1	0
4205101	共振：位置2_白_特殊1	4	2	5	101	1	5	311001	0	21000	1	3000	0	1	0
4205200	 	4	2	5	200	1	5	0	0	0	2	3500	0	2	0
4205300	 	4	2	5	300	1	5	0	0	0	3	4000	0	3	0
4205400	 	4	2	5	400	1	5	0	0	0	4	4500	0	4	0
4205500	 	4	2	5	500	1	5	0	0	0	5	5000	0	5	0
4205591	共振：位置2_橙_特殊1（测试用）	4	2	5	591	1	5	590001	0	25000	5	5000	0	5	0
4205592	共振：位置2_橙_特殊2（测试用）	4	2	5	592	1	5	5100	0	590002	5	5000	0	5	0
4305100	 	4	3	5	100	2	5	0	0	0	1	3000	0	1	0
4305200	 	4	3	5	200	2	5	0	0	0	2	3500	0	2	0
4305300	 	4	3	5	300	2	5	0	0	0	3	4000	0	3	0
4305400	 	4	3	5	400	2	5	0	0	0	4	4500	0	4	0
4305500	 	4	3	5	500	2	5	0	0	0	5	5000	0	5	0
4405100	 	4	4	5	100	3	5	0	0	0	1	3000	0	1	0
4405200	 	4	4	5	200	3	5	0	0	0	2	3500	0	2	0
4405300	 	4	4	5	300	3	5	0	0	0	3	4000	0	3	0
4405400	 	4	4	5	400	3	5	0	0	0	4	4500	0	4	0
4405500	 	4	4	5	500	3	5	0	0	0	5	5000	0	5	0
4206100	 	4	2	6	100	1	6	0	0	0	1	3000	0	1	0
4206200	 	4	2	6	200	1	6	0	0	0	2	3500	0	2	0
4206300	 	4	2	6	300	1	6	0	0	0	3	4000	0	3	0
4206400	 	4	2	6	400	1	6	0	0	0	4	4500	0	4	0
4206500	 	4	2	6	500	1	6	0	0	0	5	5000	0	5	0
4306100	 	4	3	6	100	2	6	0	0	0	1	3000	0	1	0
4306200	 	4	3	6	200	2	6	0	0	0	2	3500	0	2	0
4306300	 	4	3	6	300	2	6	0	0	0	3	4000	0	3	0
4306400	 	4	3	6	400	2	6	0	0	0	4	4500	0	4	0
4306500	 	4	3	6	500	2	6	0	0	0	5	5000	0	5	0
4406100	 	4	4	6	100	3	6	0	0	0	1	3000	0	1	0
4406200	 	4	4	6	200	3	6	0	0	0	2	3500	0	2	0
4406300	 	4	4	6	300	3	6	0	0	0	3	4000	0	3	0
4406400	 	4	4	6	400	3	6	0	0	0	4	4500	0	4	0
4406500	 	4	4	6	500	3	6	0	0	0	5	5000	0	5	0
4207100	 	4	2	7	100	1	7	0	0	0	1	3000	0	1	0
4207200	 	4	2	7	200	1	7	0	0	0	2	3500	0	2	0
4207300	 	4	2	7	300	1	7	0	0	0	3	4000	0	3	0
4207400	 	4	2	7	400	1	7	0	0	0	4	4500	0	4	0
4207500	 	4	2	7	500	1	7	0	0	0	5	5000	0	5	0
4307100	 	4	3	7	100	2	7	0	0	0	1	3000	0	1	0
4307200	 	4	3	7	200	2	7	0	0	0	2	3500	0	2	0
4307300	 	4	3	7	300	2	7	0	0	0	3	4000	0	3	0
4307400	 	4	3	7	400	2	7	0	0	0	4	4500	0	4	0
4307500	 	4	3	7	500	2	7	0	0	0	5	5000	0	5	0
4407100	 	4	4	7	100	3	7	0	0	0	1	3000	0	1	0
4407200	 	4	4	7	200	3	7	0	0	0	2	3500	0	2	0
4407300	 	4	4	7	300	3	7	0	0	0	3	4000	0	3	0
4407400	 	4	4	7	400	3	7	0	0	0	4	4500	0	4	0
4407500	 	4	4	7	500	3	7	0	0	0	5	5000	0	5	0
4208100	 	4	2	8	100	1	8	0	0	0	1	3000	0	1	0
4208200	 	4	2	8	200	1	8	0	0	0	2	3500	0	2	0
4208300	 	4	2	8	300	1	8	0	0	0	3	4000	0	3	0
4208400	 	4	2	8	400	1	8	0	0	0	4	4500	0	4	0
4208500	 	4	2	8	500	1	8	0	0	0	5	5000	0	5	0
4308100	 	4	3	8	100	2	8	0	0	0	1	3000	0	1	0
4308200	 	4	3	8	200	2	8	0	0	0	2	3500	0	2	0
4308300	 	4	3	8	300	2	8	0	0	0	3	4000	0	3	0
4308400	 	4	3	8	400	2	8	0	0	0	4	4500	0	4	0
4308500	 	4	3	8	500	2	8	0	0	0	5	5000	0	5	0
4408100	 	4	4	8	100	3	8	0	0	0	1	3000	0	1	0
4408200	 	4	4	8	200	3	8	0	0	0	2	3500	0	2	0
4408300	 	4	4	8	300	3	8	0	0	0	3	4000	0	3	0
4408400	 	4	4	8	400	3	8	0	0	0	4	4500	0	4	0
4408500	 	4	4	8	500	3	8	0	0	0	5	5000	0	5	0
4209100	 	4	2	9	100	1	9	0	0	0	1	3000	0	1	0
4209200	 	4	2	9	200	1	9	0	0	0	2	3500	0	2	0
4209300	 	4	2	9	300	1	9	0	0	0	3	4000	0	3	0
4209400	 	4	2	9	400	1	9	0	0	0	4	4500	0	4	0
4209500	 	4	2	9	500	1	9	0	0	0	5	5000	0	5	0
4309100	 	4	3	9	100	2	9	0	0	0	1	3000	0	1	0
4309101	钢骨：位置3_白_特殊1	4	3	9	101	2	9	312001	0	21000	1	3000	0	1	0
4309200	 	4	3	9	200	2	9	0	0	0	2	3500	0	2	0
4309300	 	4	3	9	300	2	9	0	0	0	3	4000	0	3	0
4309400	 	4	3	9	400	2	9	0	0	0	4	4500	0	4	0
4309500	 	4	3	9	500	2	9	0	0	0	5	5000	0	5	0
4409100	 	4	4	9	100	3	9	0	0	0	1	3000	0	1	0
4409200	 	4	4	9	200	3	9	0	0	0	2	3500	0	2	0
4409300	 	4	4	9	300	3	9	0	0	0	3	4000	0	3	0
4409400	 	4	4	9	400	3	9	0	0	0	4	4500	0	4	0
4409500	 	4	4	9	500	3	9	0	0	0	5	5000	0	5	0
4210100	 	4	2	10	100	1	10	0	0	0	1	3000	0	1	0
4210200	 	4	2	10	200	1	10	0	0	0	2	3500	0	2	0
4210300	 	4	2	10	300	1	10	0	0	0	3	4000	0	3	0
4210400	 	4	2	10	400	1	10	0	0	0	4	4500	0	4	0
4210500	 	4	2	10	500	1	10	0	0	0	5	5000	0	5	0
4310100	 	4	3	10	100	2	10	0	0	0	1	3000	0	1	0
4310200	 	4	3	10	200	2	10	0	0	0	2	3500	0	2	0
4310300	 	4	3	10	300	2	10	0	0	0	3	4000	0	3	0
4310400	 	4	3	10	400	2	10	0	0	0	4	4500	0	4	0
4310500	 	4	3	10	500	2	10	0	0	0	5	5000	0	5	0
4410100	 	4	4	10	100	3	10	0	0	0	1	3000	0	1	0
4410200	 	4	4	10	200	3	10	0	0	0	2	3500	0	2	0
4410300	 	4	4	10	300	3	10	0	0	0	3	4000	0	3	0
4410400	 	4	4	10	400	3	10	0	0	0	4	4500	0	4	0
4410500	 	4	4	10	500	3	10	0	0	0	5	5000	0	5	0
4211100	 	4	2	11	100	1	11	0	0	0	1	3000	0	1	0
4211200	 	4	2	11	200	1	11	0	0	0	2	3500	0	2	0
4211300	 	4	2	11	300	1	11	0	0	0	3	4000	0	3	0
4211400	 	4	2	11	400	1	11	0	0	0	4	4500	0	4	0
4211500	 	4	2	11	500	1	11	0	0	0	5	5000	0	5	0
4311100	 	4	3	11	100	2	11	0	0	0	1	3000	0	1	0
4311200	 	4	3	11	200	2	11	0	0	0	2	3500	0	2	0
4311300	 	4	3	11	300	2	11	0	0	0	3	4000	0	3	0
4311400	 	4	3	11	400	2	11	0	0	0	4	4500	0	4	0
4311500	 	4	3	11	500	2	11	0	0	0	5	5000	0	5	0
4411100	 	4	4	11	100	3	11	0	0	0	1	3000	0	1	0
4411200	 	4	4	11	200	3	11	0	0	0	2	3500	0	2	0
4411300	 	4	4	11	300	3	11	0	0	0	3	4000	0	3	0
4411400	 	4	4	11	400	3	11	0	0	0	4	4500	0	4	0
4411500	 	4	4	11	500	3	11	0	0	0	5	5000	0	5	0
4212100	 	4	2	12	100	1	12	0	0	0	1	3000	0	1	0
4212200	 	4	2	12	200	1	12	0	0	0	2	3500	0	2	0
4212300	 	4	2	12	300	1	12	0	0	0	3	4000	0	3	0
4212400	 	4	2	12	400	1	12	0	0	0	4	4500	0	4	0
4212500	 	4	2	12	500	1	12	0	0	0	5	5000	0	5	0
4312100	 	4	3	12	100	2	12	0	0	0	1	3000	0	1	0
4312200	 	4	3	12	200	2	12	0	0	0	2	3500	0	2	0
4312300	 	4	3	12	300	2	12	0	0	0	3	4000	0	3	0
4312400	 	4	3	12	400	2	12	0	0	0	4	4500	0	4	0
4312500	 	4	3	12	500	2	12	0	0	0	5	5000	0	5	0
4412100	 	4	4	12	100	3	12	0	0	0	1	3000	0	1	0
4412200	 	4	4	12	200	3	12	0	0	0	2	3500	0	2	0
4412300	 	4	4	12	300	3	12	0	0	0	3	4000	0	3	0
4412400	 	4	4	12	400	3	12	0	0	0	4	4500	0	4	0
4412500	 	4	4	12	500	3	12	0	0	0	5	5000	0	5	0
4213100	 	4	2	13	100	1	13	0	0	0	1	3000	0	1	0
4213200	 	4	2	13	200	1	13	0	0	0	2	3500	0	2	0
4213300	 	4	2	13	300	1	13	0	0	0	3	4000	0	3	0
4213400	 	4	2	13	400	1	13	0	0	0	4	4500	0	4	0
4213500	 	4	2	13	500	1	13	0	0	0	5	5000	0	5	0
4313100	 	4	3	13	100	2	13	0	0	0	1	3000	0	1	0
4313200	 	4	3	13	200	2	13	0	0	0	2	3500	0	2	0
4313300	 	4	3	13	300	2	13	0	0	0	3	4000	0	3	0
4313400	 	4	3	13	400	2	13	0	0	0	4	4500	0	4	0
4313500	 	4	3	13	500	2	13	0	0	0	5	5000	0	5	0
4413100	 	4	4	13	100	3	13	0	0	0	1	3000	0	1	0
4413200	 	4	4	13	200	3	13	0	0	0	2	3500	0	2	0
4413300	 	4	4	13	300	3	13	0	0	0	3	4000	0	3	0
4413400	 	4	4	13	400	3	13	0	0	0	4	4500	0	4	0
4413500	 	4	4	13	500	3	13	0	0	0	5	5000	0	5	0
4214100	 	4	2	14	100	1	14	0	0	0	1	3000	0	1	0
4214200	 	4	2	14	200	1	14	0	0	0	2	3500	0	2	0
4214300	 	4	2	14	300	1	14	0	0	0	3	4000	0	3	0
4214400	 	4	2	14	400	1	14	0	0	0	4	4500	0	4	0
4214500	 	4	2	14	500	1	14	0	0	0	5	5000	0	5	0
4314100	 	4	3	14	100	2	14	0	0	0	1	3000	0	1	0
4314200	 	4	3	14	200	2	14	0	0	0	2	3500	0	2	0
4314300	 	4	3	14	300	2	14	0	0	0	3	4000	0	3	0
4314400	 	4	3	14	400	2	14	0	0	0	4	4500	0	4	0
4314500	 	4	3	14	500	2	14	0	0	0	5	5000	0	5	0
4414100	 	4	4	14	100	3	14	0	0	0	1	3000	0	1	0
4414200	 	4	4	14	200	3	14	0	0	0	2	3500	0	2	0
4414300	 	4	4	14	300	3	14	0	0	0	3	4000	0	3	0
4414400	 	4	4	14	400	3	14	0	0	0	4	4500	0	4	0
4414500	 	4	4	14	500	3	14	0	0	0	5	5000	0	5	0
4215100	 	4	2	15	100	1	15	0	0	0	1	3000	0	1	0
4215200	 	4	2	15	200	1	15	0	0	0	2	3500	0	2	0
4215300	 	4	2	15	300	1	15	0	0	0	3	4000	0	3	0
4215400	 	4	2	15	400	1	15	0	0	0	4	4500	0	4	0
4215500	 	4	2	15	500	1	15	0	0	0	5	5000	0	5	0
4315100	 	4	3	15	100	2	15	0	0	0	1	3000	0	1	0
4315200	 	4	3	15	200	2	15	0	0	0	2	3500	0	2	0
4315300	 	4	3	15	300	2	15	0	0	0	3	4000	0	3	0
4315400	 	4	3	15	400	2	15	0	0	0	4	4500	0	4	0
4315500	 	4	3	15	500	2	15	0	0	0	5	5000	0	5	0
4415100	 	4	4	15	100	3	15	0	0	0	1	3000	0	1	0
4415200	 	4	4	15	200	3	15	0	0	0	2	3500	0	2	0
4415300	 	4	4	15	300	3	15	0	0	0	3	4000	0	3	0
4415400	 	4	4	15	400	3	15	0	0	0	4	4500	0	4	0
4415500	 	4	4	15	500	3	15	0	0	0	5	5000	0	5	0
4216100	 	4	2	16	100	1	16	0	0	0	1	3000	0	1	0
4216200	 	4	2	16	200	1	16	0	0	0	2	3500	0	2	0
4216300	 	4	2	16	300	1	16	0	0	0	3	4000	0	3	0
4216400	 	4	2	16	400	1	16	0	0	0	4	4500	0	4	0
4216500	 	4	2	16	500	1	16	0	0	0	5	5000	0	5	0
4316100	 	4	3	16	100	2	16	0	0	0	1	3000	0	1	0
4316200	 	4	3	16	200	2	16	0	0	0	2	3500	0	2	0
4316300	 	4	3	16	300	2	16	0	0	0	3	4000	0	3	0
4316400	 	4	3	16	400	2	16	0	0	0	4	4500	0	4	0
4316500	 	4	3	16	500	2	16	0	0	0	5	5000	0	5	0
4416100	 	4	4	16	100	3	16	0	0	0	1	3000	0	1	0
4416200	 	4	4	16	200	3	16	0	0	0	2	3500	0	2	0
4416300	 	4	4	16	300	3	16	0	0	0	3	4000	0	3	0
4416400	 	4	4	16	400	3	16	0	0	0	4	4500	0	4	0
4416500	 	4	4	16	500	3	16	0	0	0	5	5000	0	5	0
