id	beizhu	question	type	answer1	answer2	answer3	rightAnswer	
152	微笑超人2	地底人的目的是？	1	来送白旗	夺取地球霸权	挑战强者	2
153	微笑超人3	关于蚊娘的说法，错误的是？	1	无限再生	吸血	操控蚊群	1
154	微笑超人4	关于阿修罗独角仙的说法，错误的是？	1	被隔离管理	能让超市打折	进化之家最高战力之一	2
155	微笑超人5	关于无限昆布的说法，错误的是？	1	被埼玉吃了	在Z市现身	海带有毒	3
156	微笑超人6	埼玉与螃蟹怪的战斗中拯救的人是？	1	英雄协会职员	长着屁股下巴的小孩	擅长绘画的小孩	2
157	微笑超人7	杰诺斯曾如何评价埼玉的变强方式？	1	只是肌肉锻炼	常人难以完成	消耗了过多能量	1
158	微笑超人8	埼玉为什么要敌视钉锤头一行人？	1	他们不愿工作	他们以光头为标志	他们袭击富豪	2
159	微笑超人9	埼玉为什么感到空虚？	1	总会一拳结束战斗	生活太过贫穷	头发秃了	1
160	微笑超人10	埼玉变强用了多久？	1	30年	10年	3年	3
161	甜心假面1	埼玉击杀蚊娘时说了什么？	1	“蚊子好烦”	“一不小心……”	“啊，抱歉”	1
162	甜心假面2	阿修罗独角仙被封存在哪？	1	基诺斯实验室	进化之家地下	进化之家顶层	2
163	甜心假面3	埼玉参加英雄认定测试的理由是？	1	增长见闻	被协会拜托	提高知名度	3
164	甜心假面4	埼玉的英雄认定测试分数是？	1	60分	70分	71分	3
165	甜心假面5	以下关于C级英雄的说法，正确的是：	1	不需要每周活动	不活跃的话就会被除名	超市会给优惠	2
166	甜心假面6	曾多次袭击埼玉，以忍者自居的人是谁？	1	音速索尼克	雷光源氏	毒刺	1
167	甜心假面7	深海王袭击了哪座城市？	1	A市	J市	Z市	2
168	甜心假面8	避难所内，英雄们是如何面对深海王的？	1	死战不退	躲藏不出	劝诫	1
169	甜心假面9	谁给了向Z市飞来的陨石决定性的一击？	1	杰诺斯	埼玉	金属骑士	2
170	甜心假面10	埼玉成为职业英雄之前，当英雄的原因是？	1	兴趣使然	补贴家用	行侠仗义	1
171	杰诺斯1	下列哪个英雄和深海王战斗过？	1	青焰	KING	性感囚犯	3
172	杰诺斯2	闪电麦克斯的武器是？	1	酷炫的发型	装有火药的鞋子	脸上的闪电纹样	2
173	杰诺斯3	是谁从深海王手下救下了无证骑士？	1	性感囚犯	埼玉	杰诺斯	2
174	杰诺斯4	梅尔扎尔加尔德的能力是什么？	1	分裂和自愈	重力操控	复制招式	1
175	杰诺斯5	关于格洛里巴斯，以下说法正确的是：	1	本体是一棵仙人掌	是来自地底的怪人	来不及出手就被埼玉秒杀	3
176	杰诺斯6	波罗斯说自己来到地球的目的是什么？	1	征服地球	和强者战斗	招募地球上的怪人	2
177	杰诺斯7	暗黑盗贼团三位最上级战斗员不包括：	1	格洛里巴斯	梅尔扎尔加尔德	波罗斯	3
178	杰诺斯8	无证骑士的车叫什么名字？	1	英雄号MKII	英雄号	正义号	3
179	杰诺斯9	曾自称“宇宙第一的念动力使用者”的是谁？	1	格洛里巴斯	加鲁刚西普	战栗的龙卷	2
180	杰诺斯10	以下不属于进化之家的是：	1	戏耍蛞蝓	兽王	光头猩	3
181	杰诺斯武装1	请选出以下选项中的怪人：	1	乌马洪	螳螂男	猪神	2
182	杰诺斯武装2	请选出以下选项中的英雄：	1	超合金黑光	茶岚子	音速索尼克	1
183	杰诺斯武装3	拥有再生能力的是？	1	梅尔扎尔加尔德	加鲁刚西普	无证骑士	1
184	杰诺斯武装4	以下哪个是埼玉曾使用过的招式？	1	普通飞踢	认真呐喊	连续普通拳	3
185	杰诺斯武装5	以下哪个是音速索尼克曾使用过的招式？	1	奥义·无影葬	原子斩	爆裂手里剑	3
186	杰诺斯武装6	以下哪个不是杰诺斯曾使用过的招式？	1	胸部火焰	机关枪拳	焚烧炮	1
187	杰诺斯武装7	无限昆布为什么会来到Z市？	1	被怪人传闻吸引	为了征服Z市	为了击败英雄	1
188	杰诺斯武装8	下列哪个是银色獠牙的弟子？	1	茶岚子	杰诺斯	埼玉	1
189	杰诺斯武装9	下列哪个是袭击过A市的怪人？	1	天空王	蚊娘	冥界王	1
190	杰诺斯武装10	下列谁没有在Z市搞过破坏？	1	无限海带	音速索尼克	疫苗人	3
