id	description	quality	lv1	lv2	lv3	lv4	lv5	lv6	lv7	lv8	lv9	lv10	lv11	lv12	lv13	lv14	lv15	
4110500	主核：不屈	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4111100	主核：磐石	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4111200	主核：磐石	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4111300	主核：磐石	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4111400	主核：磐石	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4111500	主核：磐石	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4112100	主核：激励	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4112200	主核：激励	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4112300	主核：激励	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4112400	主核：激励	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4112500	主核：激励	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4113100	主核：守护	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4113200	主核：守护	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4113300	主核：守护	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4113400	主核：守护	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4113500	主核：守护	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4114100	主核：爱	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4114200	主核：爱	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4114300	主核：爱	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4114400	主核：爱	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4114500	主核：爱	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4115100	主核：驱散	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4115200	主核：驱散	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4115300	主核：驱散	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4115400	主核：驱散	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4115500	主核：驱散	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4116100	主核：制衡	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4116200	主核：制衡	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4116300	主核：制衡	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4116400	主核：制衡	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4116500	主核：制衡	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4201100	幸运：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4201200	幸运：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4201300	幸运：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4201400	幸运：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4201500	幸运：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4301100	幸运：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4301200	幸运：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4301300	幸运：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4301400	幸运：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4301500	幸运：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4401100	幸运：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4401200	幸运：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4401300	幸运：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4401400	幸运：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4401500	幸运：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4202100	聚能：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4202200	聚能：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4202300	聚能：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4202400	聚能：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4202500	聚能：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4302100	聚能：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4302200	聚能：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4302300	聚能：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4302400	聚能：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4302500	聚能：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4402100	聚能：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4402200	聚能：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4402300	聚能：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4402400	聚能：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4402500	聚能：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4203100	窃夺：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4203200	窃夺：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4203300	窃夺：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4203400	窃夺：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4203500	窃夺：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4303100	窃夺：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4303200	窃夺：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4303300	窃夺：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4303400	窃夺：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4303500	窃夺：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4403100	窃夺：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4403200	窃夺：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4403300	窃夺：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4403400	窃夺：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4403500	窃夺：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4204100	先制：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4204200	先制：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4204300	先制：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4204400	先制：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4204500	先制：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4304100	先制：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4304200	先制：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4304300	先制：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4304400	先制：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4304500	先制：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4404100	先制：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4404200	先制：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4404300	先制：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4404400	先制：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4404500	先制：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4205100	共振：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4205200	共振：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4205300	共振：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4205400	共振：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4205500	共振：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4305100	共振：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4305200	共振：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4305300	共振：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4305400	共振：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4305500	共振：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4405100	共振：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4405200	共振：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4405300	共振：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4405400	共振：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4405500	共振：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4206100	终结：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4206200	终结：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4206300	终结：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4206400	终结：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4206500	终结：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4306100	终结：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4306200	终结：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4306300	终结：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4306400	终结：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4306500	终结：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4406100	终结：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4406200	终结：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4406300	终结：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4406400	终结：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4406500	终结：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4207100	破甲：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4207200	破甲：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4207300	破甲：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4207400	破甲：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4207500	破甲：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4307100	破甲：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4307200	破甲：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4307300	破甲：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4307400	破甲：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4307500	破甲：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4407100	破甲：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4407200	破甲：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4407300	破甲：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4407400	破甲：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4407500	破甲：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4208100	坚韧：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4208200	坚韧：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4208300	坚韧：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4208400	坚韧：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4208500	坚韧：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4308100	坚韧：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4308200	坚韧：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4308300	坚韧：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4308400	坚韧：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4308500	坚韧：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4408100	坚韧：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4408200	坚韧：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4408300	坚韧：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4408400	坚韧：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4408500	坚韧：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4209100	钢骨：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4209200	钢骨：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4209300	钢骨：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4209400	钢骨：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4209500	钢骨：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4309100	钢骨：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4309200	钢骨：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4309300	钢骨：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4309400	钢骨：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4309500	钢骨：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4409100	钢骨：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4409200	钢骨：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4409300	钢骨：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4409400	钢骨：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4409500	钢骨：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4210100	不屈：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4210200	不屈：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4210300	不屈：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4210400	不屈：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4210500	不屈：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4310100	不屈：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4310200	不屈：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4310300	不屈：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4310400	不屈：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4310500	不屈：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4410100	不屈：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4410200	不屈：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4410300	不屈：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4410400	不屈：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4410500	不屈：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4211100	磐石：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4211200	磐石：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4211300	磐石：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4211400	磐石：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4211500	磐石：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4311100	磐石：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4311200	磐石：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4311300	磐石：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4311400	磐石：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4311500	磐石：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4411100	磐石：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4411200	磐石：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4411300	磐石：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4411400	磐石：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4411500	磐石：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4212100	激励：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4212200	激励：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4212300	激励：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4212400	激励：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4212500	激励：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4312100	激励：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4312200	激励：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4312300	激励：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4312400	激励：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4312500	激励：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4412100	激励：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4412200	激励：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4412300	激励：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4412400	激励：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4412500	激励：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4213100	守护：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4213200	守护：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4213300	守护：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4213400	守护：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4213500	守护：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4313100	守护：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4313200	守护：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4313300	守护：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4313400	守护：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4313500	守护：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4413100	守护：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4413200	守护：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4413300	守护：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4413400	守护：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4413500	守护：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4214100	大爱：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4214200	大爱：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4214300	大爱：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4214400	大爱：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4214500	大爱：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4314100	大爱：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4314200	大爱：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4314300	大爱：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4314400	大爱：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4314500	大爱：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4414100	大爱：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4414200	大爱：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4414300	大爱：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4414400	大爱：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4414500	大爱：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4215100	驱散：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4215200	驱散：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4215300	驱散：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4215400	驱散：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4215500	驱散：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4315100	驱散：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4315200	驱散：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4315300	驱散：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4315400	驱散：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4315500	驱散：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4415100	驱散：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4415200	驱散：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4415300	驱散：位置4	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4415400	驱散：位置4	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4415500	驱散：位置4	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4216100	制衡：位置2	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4216200	制衡：位置2	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4216300	制衡：位置2	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4216400	制衡：位置2	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4216500	制衡：位置2	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4316100	制衡：位置3	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4316200	制衡：位置3	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4316300	制衡：位置3	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4316400	制衡：位置3	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4316500	制衡：位置3	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4416100	制衡：位置4	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4416200	制衡：位置4	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
