id	stage	Days	rewardShow	drop	rechargShow	rewardsfree	rewardsfinally	finallydrop	RechargeShop	
71	11	71	20000741	20000741	20000741	20000054	0	0	20049
72	11	72	20000742	20000742	20000742	20000054	0	0	20050
73	11	73	20000743	20000743	20000743	20000054	0	0	20051
74	11	74	20000744	20000744	20000744	20000054	0	0	20052
75	11	75	20000745	20000745	20000745	20000054	0	0	20053
76	11	76	20000746	20000746	20000746	20000054	0	0	20105
77	11	77	20000747	20000747	20000747	20000054	20000748	20000748	20106
78	12	78	20000663	20000663	20000663	20000054	0	0	20049
79	12	79	20000664	20000664	20000664	20000054	0	0	20050
80	12	80	20000665	20000665	20000665	20000054	0	0	20051
81	12	81	20000666	20000666	20000666	20000054	0	0	20052
82	12	82	20000667	20000667	20000667	20000054	0	0	20053
83	12	83	20000668	20000668	20000668	20000054	0	0	20105
84	12	84	20000669	20000669	20000669	20000054	20000670	20000670	20106
85	13	85	20000741	20000741	20000741	20000054	0	0	20049
86	13	86	20000742	20000742	20000742	20000054	0	0	20050
87	13	87	20000743	20000743	20000743	20000054	0	0	20051
88	13	88	20000744	20000744	20000744	20000054	0	0	20052
89	13	89	20000745	20000745	20000745	20000054	0	0	20053
90	13	90	20000746	20000746	20000746	20000054	0	0	20105
91	13	91	20000747	20000747	20000747	20000054	20000748	20000748	20106
92	14	92	20000663	20000663	20000663	20000054	0	0	20049
93	14	93	20000664	20000664	20000664	20000054	0	0	20050
94	14	94	20000665	20000665	20000665	20000054	0	0	20051
95	14	95	20000666	20000666	20000666	20000054	0	0	20052
96	14	96	20000667	20000667	20000667	20000054	0	0	20053
97	14	97	20000668	20000668	20000668	20000054	0	0	20105
98	14	98	20000669	20000669	20000669	20000054	20000670	20000670	20106
99	15	99	20000741	20000741	20000741	20000054	0	0	20049
100	15	100	20000742	20000742	20000742	20000054	0	0	20050
101	15	101	20000743	20000743	20000743	20000054	0	0	20051
102	15	102	20000744	20000744	20000744	20000054	0	0	20052
103	15	103	20000745	20000745	20000745	20000054	0	0	20053
104	15	104	20000746	20000746	20000746	20000054	0	0	20105
105	15	105	20000747	20000747	20000747	20000054	20000748	20000748	20106
106	16	106	20000663	20000663	20000663	20000054	0	0	20049
107	16	107	20000664	20000664	20000664	20000054	0	0	20050
108	16	108	20000665	20000665	20000665	20000054	0	0	20051
109	16	109	20000666	20000666	20000666	20000054	0	0	20052
110	16	110	20000667	20000667	20000667	20000054	0	0	20053
111	16	111	20000668	20000668	20000668	20000054	0	0	20105
112	16	112	20000669	20000669	20000669	20000054	20000670	20000670	20106
113	17	113	20000741	20000741	20000741	20000054	0	0	20049
114	17	114	20000742	20000742	20000742	20000054	0	0	20050
115	17	115	20000743	20000743	20000743	20000054	0	0	20051
116	17	116	20000744	20000744	20000744	20000054	0	0	20052
117	17	117	20000745	20000745	20000745	20000054	0	0	20053
118	17	118	20000746	20000746	20000746	20000054	0	0	20105
119	17	119	20000747	20000747	20000747	20000054	20000748	20000748	20106
120	18	120	20000663	20000663	20000663	20000054	0	0	20049
121	18	121	20000664	20000664	20000664	20000054	0	0	20050
122	18	122	20000665	20000665	20000665	20000054	0	0	20051
123	18	123	20000666	20000666	20000666	20000054	0	0	20052
124	18	124	20000667	20000667	20000667	20000054	0	0	20053
125	18	125	20000668	20000668	20000668	20000054	0	0	20105
126	18	126	20000669	20000669	20000669	20000054	20000670	20000670	20106
127	19	127	20000741	20000741	20000741	20000054	0	0	20049
128	19	128	20000742	20000742	20000742	20000054	0	0	20050
129	19	129	20000743	20000743	20000743	20000054	0	0	20051
130	19	130	20000744	20000744	20000744	20000054	0	0	20052
131	19	131	20000745	20000745	20000745	20000054	0	0	20053
132	19	132	20000746	20000746	20000746	20000054	0	0	20105
133	19	133	20000747	20000747	20000747	20000054	20000748	20000748	20106
