id	patterntype	storyName	chapterShow	unlockLv	storyId	nextChapter	lastChapter	chapterStage	starReward	rewardShow	unlockWord	background	introduce	
14	1	<size=40>第</size>14<size=40>章</size>	第十四章	28	101	15	13	214010,214020,214021,214030,214031,214050,214041,214060,214061	3,2140001|9,2140002|18,2140003	2140001,2140002,2140003	等级达到26级	330900208	持久战中，敌方目标攻防提高
15	1	<size=40>第</size>15<size=40>章</size>	第十五章	30	101	16	14	215010,215020,215021,215030,215031,215050,215041,215060,215061	3,2150001|9,2150002|18,2150003	2150001,2150002,2150003	等级达到28级	330900210	敌方目标免疫控制和负面效果
16	1	<size=40>第</size>16<size=40>章</size>	第十六章	32	101	17	15	216010,216020,216021,216030,216031,216050,216041,216060,216061	3,2160001|9,2160002|18,2160003	2160001,2160002,2160003	等级达到30级	330900201	沉睡的目标若不被攻击就不会醒来
17	1	<size=40>第</size>17<size=40>章</size>	第十七章	33	101	18	16	217010,217020,217021,217030,217031,217050,217041,217060,217061	3,2170001|9,2170002|18,2170003	2170001,2170002,2170003	等级达到32级	330900202	敌方目标速度翻倍
18	1	<size=40>第</size>18<size=40>章</size>	第十八章	34	101	19	17	218010,218020,218021,218030,218031,218050,218041,218060,218061	3,2180001|9,2180002|18,2180003	2180001,2180002,2180003	等级达到34级	330900206	持久战中，敌方目标攻防提高
19	1	<size=40>第</size>19<size=40>章</size>	第十九章	35	101	20	18	219010,219020,219021,219030,219031,219050,219041,219060,219061	3,2180001|9,2180002|18,2180003	2190001,2190002,2190003	等级达到36级	330900207	部分目标情绪激怒，攻击生命增加
20	1	<size=40>第</size>20<size=40>章</size>	第二十章	36	101	21	19	220010,220020,220021,220030,220031,220050,220041,220060,220061	3,2200001|9,2200002|18,2200003	2200001,2200002,2200003	等级达到38级	330900213	敌方目标免疫控制和负面效果
21	1	<size=40>第</size>21<size=40>章</size>	第二十一章	37	101	22	20	221010,221020,221021,221030,221031,221050,221041,221060,221061	3,2210001|9,2210002|18,2210003	2210001,2210002,2210003	等级达到39级	330900204	持久战中，敌方目标回复生命，攻防提升
22	1	<size=40>第</size>22<size=40>章</size>	第二十二章	38	101	23	21	222010,222020,222021,222030,222031,222050,222041,222060,222061	3,2220001|9,2220002|18,2220003	2220001,2220002,2220003	等级达到40级	330900212	敌方目标会在使用技能后减少我方能量
23	1	<size=40>第</size>23<size=40>章</size>	第二十三章	39	101	24	22	223010,223020,223021,223030,223031,223050,223041,223060,223061	3,2230001|9,2230002|18,2230003	2230001,2230002,2230003	等级达到41级	330900208	敌方目标会在使用技能后回复生命
24	1	<size=40>第</size>24<size=40>章</size>	第二十四章	40	101	25	23	224010,224020,224021,224030,224031,224050,224041,224060,224061	3,2240001|9,2240002|18,2240003	2240001,2240002,2240003	等级达到42级	330900209	敌我双方能量高涨
25	1	<size=40>第</size>25<size=40>章</size>	第二十五章	41	101	26	24	225010,225020,225021,225030,225031,225050,225041,225060,225061	3,2250001|9,2250002|18,2250003	2250001,2250002,2250003	等级达到43级	330900208	敌方目标会在使用技能后减少我方能量
26	1	<size=40>第</size>26<size=40>章</size>	第二十六章	42	101	27	25	226010,226020,226021,226030,226031,226050,226041,226060,226061	3,2260001|9,2260002|18,2260003	2260001,2260002,2260003	等级达到44级	330900209	敌方目标具有反伤能力
27	1	<size=40>第</size>27<size=40>章</size>	第二十七章	43	101	28	26	227010,227020,227021,227030,227031,227050,227041,227060,227061	3,2270001|9,2270002|18,2270003	2270001,2270002,2270003	等级达到45级	330900203	沉睡的目标若不被攻击就不会醒来
28	1	<size=40>第</size>28<size=40>章</size>	第二十八章	44	101	29	27	228010,228020,228021,228030,228031,228050,228041,228060,228061	3,2280001|9,2280002|18,2280003	2280001,2280002,2280003	等级达到46级	330900213	部分目标情绪激怒，应按照情报标示谨慎处理
29	1	<size=40>第</size>29<size=40>章</size>	第二十九章	45	101	30	28	229010,229020,229021,229030,229031,229050,229041,229060,229061	3,2290001|9,2290002|18,2290003	2290001,2290002,2290003	等级达到47级	330900204	持久战中，敌方目标攻防提高
30	1	<size=40>第</size>30<size=40>章</size>	第三十章	46	101	31	29	230010,230020,230021,230030,230031,230050,230041,230060,230061	3,2300001|9,2300002|18,2300003	2300001,2300002,2300003	等级达到48级	330900212	持久战中，敌方目标回复生命，攻防提升
31	1	<size=40>第</size>31<size=40>章</size>	第三十一章	47	101	32	30	231010,231020,231021,231030,231031,231040,231041,231050,231061	3,2310001|9,2310002|18,2310003	2310001,2310002,2310003	等级达到49级	330900209	敌方目标具有反伤能力
32	1	<size=40>第</size>32<size=40>章</size>	第三十二章	48	101	33	31	232010,232020,232021,232030,232031,232040,232041,232050,232061	3,2320001|9,2320002|18,2320003	2320001,2320002,2320003	等级达到50级	330900203	敌方目标免疫控制和负面效果
33	1	<size=40>第</size>33<size=40>章</size>	第三十三章	49	101	34	32	233010,233020,233021,233030,233031,233040,233041,233050,233061	3,2330001|9,2330002|18,2330003	2330001,2330002,2330003	等级达到51级	330900213	敌我双方能量高涨
34	1	<size=40>第</size>34<size=40>章</size>	第三十四章	50	101	35	33	234010,234020,234021,234030,234031,234040,234041,234050,234061	3,2340001|9,2340002|18,2340003	2340001,2340002,2340003	等级达到52级	330900204	持久战中，敌方目标攻防提高
35	1	<size=40>第</size>35<size=40>章</size>	第三十五章	51	101	36	34	235010,235020,235021,235030,235031,235040,235041,235050,235061	3,2350001|9,2350002|18,2350003	2350001,2350002,2350003	等级达到53级	330900212	敌方目标会在使用技能后回复生命
36	1	<size=40>第</size>36<size=40>章</size>	第三十六章	52	101	37	35	236010,236020,236021,236030,236031,236040,236041,236050,236061	3,2360001|9,2360002|18,2360003	2360001,2360002,2360003	等级达到53级	330900209	25回合后敌人回复到满血，并且攻防提升100%
37	1	<size=40>第</size>37<size=40>章</size>	第三十七章	53	101	38	36	237010,237020,237021,237030,237031,237040,237041,237050,237061	3,2370001|9,2370002|18,2370003	2370001,2370002,2370003	等级达到53级	330900203	这个区域的敌人带有反伤效果
38	1	<size=40>第</size>38<size=40>章</size>	第三十八章	54	101	39	37	238010,238020,238021,238030,238031,238040,238041,238050,238061	3,2380001|9,2380002|18,2380003	2380001,2380002,2380003	等级达到53级	330900213	敌方目标会在使用技能后减少我方能量
39	1	<size=40>第</size>39<size=40>章</size>	第三十九章	55	101	40	38	239010,239020,239021,239030,239031,239040,239041,239050,239061	3,2390001|9,2390002|18,2390003	2390001,2390002,2390003	等级达到53级	330900204	敌人免疫控制和负面效果
40	1	<size=40>第</size>40<size=40>章</size>	第四十章	56	101	41	39	240010,240020,240021,240030,240031,240040,240041,240050,240061	3,2400001|9,2400002|18,2400003	2400001,2400002,2400003	等级达到53级	330900212	该区域受到污染，怪人变得巨大，攻血增加
41	1	<size=40>第</size>41<size=40>章</size>	第四十一章	57	101	42	40	241010,241020,241021,241030,241031,241040,241041,241050,241061	3,2410001|9,2410002|18,2410003	2410001,2410002,2410003	等级达到53级	330900209	15回合后敌人攻防提高50%
42	1	<size=40>第</size>42<size=40>章</size>	第四十二章	58	101	43	41	242010,242020,242021,242030,242031,242040,242041,242050,242061	3,2420001|9,2420002|18,2420003	2420001,2420002,2420003	等级达到53级	330900203	敌人在使用技能后回复到满血
43	1	<size=40>第</size>43<size=40>章</size>	第四十三章	59	101	0	42	243010,243020,243021,243030,243031,243040,243041,243050,243061	3,2430001|9,2430002|18,2430003	2430001,2430002,2430003	等级达到53级	330900213	25回合后敌人回复到满血，并且攻防提升100%
1001	2	<size=40>第</size>1<size=40>章</size>	第一章	40	101	1002	0	201110,201120,201121,201130,201131,201140,201141,201150,201161	3,2011001|9,2011002|18,2011003	2011001,2011002,2011003	等级达到40级	330900214	敌我双方能量高涨
1002	2	<size=40>第</size>2<size=40>章</size>	第二章	41	101	1003	1001	202110,202120,202121,202130,202131,202140,202141,202150,202161	3,2021001|9,2021002|18,2021003	2021001,2021002,2021003	等级达到41级	330900215	敌方目标具有反伤能力
1003	2	<size=40>第</size>3<size=40>章</size>	第三章	42	101	1004	1002	203110,203120,203121,203130,203131,203140,203141,203150,203161	3,2031001|9,2031002|18,2031003	2031001,2031002,2031003	等级达到42级	330900214	部分目标情绪激怒，攻击生命增加
1004	2	<size=40>第</size>4<size=40>章</size>	第四章	43	101	1005	1003	204110,204120,204121,204130,204131,204140,204141,204150,204161	3,2041001|9,2041002|18,2041003	2041001,2041002,2041003	等级达到43级	330900215	敌方目标免疫控制和负面效果
1005	2	<size=40>第</size>5<size=40>章</size>	第五章	44	101	1006	1004	205110,205120,205121,205130,205131,205140,205141,205150,205161	3,2051001|9,2051002|18,2051003	2051001,2051002,2051003	等级达到44级	330900214	持久战中，敌方目标攻防提高
1006	2	<size=40>第</size>6<size=40>章</size>	第六章	45	101	1007	1005	206110,206120,206121,206130,206131,206140,206141,206150,206161	3,2061001|9,2061002|18,2061003	2061001,2061002,2061003	等级达到45级	330900215	敌我双方能量高涨
1007	2	<size=40>第</size>7<size=40>章</size>	第七章	46	101	1008	1006	207110,207120,207121,207130,207131,207140,207141,207150,207161	3,2071001|9,2071002|18,2071003	2071001,2071002,2071003	等级达到46级	330900214	敌方目标具有反伤能力
1008	2	<size=40>第</size>8<size=40>章</size>	第八章	47	101	1009	1007	208110,208120,208121,208130,208131,208140,208141,208150,208161	3,2081001|9,2081002|18,2081003	2081001,2081002,2081003	等级达到47级	330900215	持久战中，敌方目标回复生命，攻防提升
1009	2	<size=40>第</size>9<size=40>章</size>	第九章	48	101	1010	1008	209110,209120,209121,209130,209131,209140,209141,209150,209161	3,2091001|9,2091002|18,2091003	2091001,2091002,2091003	等级达到48级	330900214	敌我双方能量高涨
1010	2	<size=40>第</size>10<size=40>章</size>	第十章	49	101	1011	1009	210110,210120,210121,210130,210131,210140,210141,210150,210161	3,2101001|9,2101002|18,2101003	2101001,2101002,2101003	等级达到49级	330900215	沉睡的目标若不被攻击就不会醒来
1011	2	<size=40>第</size>11<size=40>章</size>	第十一章	50	101	1012	1010	211110,211120,211121,211130,211131,211140,211141,211150,211161	3,2111001|9,2111002|18,2111003	2111001,2111002,2111003	等级达到50级	330900214	敌方目标免疫控制和负面效果
1012	2	<size=40>第</size>12<size=40>章</size>	第十二章	51	101	1013	1011	212110,212120,212121,212130,212131,212140,212141,212150,212161	3,2121001|9,2121002|18,2121003	2121001,2121002,2121003	等级达到51级	330900215	部分目标情绪激怒，攻击生命增加
1013	2	<size=40>第</size>13<size=40>章</size>	第十三章	52	101	1014	1012	213110,213120,213121,213130,213131,213140,213141,213150,213161	3,2131001|9,2131002|18,2131003	2131001,2131002,2131003	等级达到52级	330900214	敌方目标具有反伤能力
1014	2	<size=40>第</size>14<size=40>章</size>	第十四章	53	101	1015	1013	214110,214120,214121,214130,214131,214140,214141,214150,214161	3,2141001|9,2141002|18,2141003	2141001,2141002,2141003	等级达到53级	330900215	持久战中，敌方目标攻防提高
1015	2	<size=40>第</size>15<size=40>章</size>	第十五章	54	101	1016	1014	215110,215120,215121,215130,215131,215140,215141,215150,215161	3,2151001|9,2151002|18,2151003	2151001,2151002,2151003	等级达到54级	330900214	敌方目标免疫控制和负面效果
1016	2	<size=40>第</size>16<size=40>章</size>	第十六章	55	101	1017	1015	216110,216120,216121,216130,216131,216140,216141,216150,216161	3,2161001|9,2161002|18,2161003	2161001,2161002,2161003	等级达到55级	330900215	沉睡的目标若不被攻击就不会醒来
1017	2	<size=40>第</size>17<size=40>章</size>	第十七章	56	101	1018	1016	217110,217120,217121,217130,217131,217140,217141,217150,217161	3,2171001|9,2171002|18,2171003	2171001,2171002,2171003	等级达到56级	330900214	敌方目标速度翻倍
1018	2	<size=40>第</size>18<size=40>章</size>	第十八章	57	101	1019	1017	218110,218120,218121,218130,218131,218140,218141,218150,218161	3,2181001|9,2181002|18,2181003	2181001,2181002,2181003	等级达到57级	330900215	持久战中，敌方目标攻防提高
1019	2	<size=40>第</size>19<size=40>章</size>	第十九章	58	101	1020	1018	219110,219120,219121,219130,219131,219140,219141,219150,219161	3,2191001|9,2191002|18,2191003	2191001,2191002,2191003	等级达到58级	330900214	部分目标情绪激怒，攻击生命增加
1020	2	<size=40>第</size>20<size=40>章</size>	第二十章	59	101	0	1019	220110,220120,220121,220130,220131,220140,220141,220150,220161	3,2201001|9,2201002|18,2201003	2201001,2201002,2201003	等级达到59级	330900215	敌方目标免疫控制和负面效果
