id	name	type	canReTrigger	playAni	playShowAni	skipTurn	banEnergySkill	banPassiveSkill	banSSkill	canTriggerSkill	selectType	dispelList	preventList	isPlayAnim	stateAnim	stateDead	stateStart	stateFinish	startEffect	runEffect	endEffect	statePriority	damageHitPro	
18	防毒面具捆绑他人	18	0	1	0	0	0	0	0	0	0	 	 	1	skill3_idle_loop	dead	 	 	 	 	 	0	0
19	麻痹	1	0	1	0	1	0	0	1	0	0	18	 	1	skill3_1_loop	dead	 	 	 	 	 	90	0
20	机器人跳过回合	1	0	1	0	1	0	0	0	1	0	 	 	1	idle_loop	dead	 	 	 	 	 	10	0
21	说服状态	1	0	1	0	1	0	0	1	0	0	18	 	1	idle_paralysis_loop	dead	 	 	 	eft_skill3_attackhit_youtouxia,0,0	 	95	0
22	巨人霸体	1	0	0	0	0	0	0	1	0	0	18	 	1	skill4_2	dead	 	 	 	 	 	3001	0
23	巨人蓄力	1	0	1	0	0	0	0	1	0	0	18	 	1	skill4_2	dead	 	 	 	 	 	3000	0
24	巨人霸体2	1	0	0	0	0	0	0	1	0	0	18	 	1	skill4_2	dead	 	 	 	 	 	3003	0
25	巨人蓄力2	1	0	1	0	0	0	0	1	0	0	18	 	1	skill4_2	dead	 	 	 	 	 	3002	0
26	嘲讽	16	0	1	0	0	0	0	1	0	0	 	 	0	 	dead	 	 	 	 	 	50	0
27	睫毛混乱	18	0	1	1	0	0	0	0	1	0	 	 	0	 	dead	 	 	 	 	 	40	-300
28	闪电喷射状态	18	0	1	0	0	0	0	0	1	0	 	 	1	skill3_loop	dead	 	 	 	210011024,0,point_root	 	5	0
29	天使状态	18	0	1	0	0	0	0	0	1	0	 	 	1	idle2_loop	dead	 	 	 	 	 	3	0
30	升空	1	0	1	1	1	0	0	0	1	3	 	 	1	boss_skill1_2_loop	dead	 	 	 	 	 	0	0
31	无敌	1	0	1	1	0	0	0	0	0	0	 	 	1	 	dead	 	 	 	 	 	0	0
32	虚弱（社团BOSS天空王）	1	0	1	1	1	0	0	1	0	0	18	 	1	boss_skill1_3_loop	dead	 	 	 	 	 	150	0
33	基诺斯跳过回合	1	0	1	0	1	0	0	0	1	0	 	 	1	 	dead	 	 	 	 	 	10	0
34	陨石不可选中	18	0	1	1	0	0	0	0	1	3	 	 	1	 	dead	 	 	 	 	 	0	0
35	地底王蓄力	1	0	1	0	1	0	0	0	1	0	 	 	1	 	dead	 	 	 	 	 	10	0
36	剧情3封s技能	1	0	1	0	0	0	0	1	1	0	 	 	1	idle_hurt_loop	dead	 	 	 	 	 	5	0
37	醉酒	18	0	1	0	0	0	0	0	1	0	 	 	1	zuijiu_loop	dead	 	 	 	 	 	5	0
38	睡眠	1	0	1	0	1	0	0	1	0	0	18	26	1	idle_paralysis_loop	dead	 	 	 	 	 	5	0
39	爆气	18	0	1	0	0	0	0	0	1	0	 	 	0	 	dead	 	 	 	260000213,1,point_root,1,1	 	111	0
40	伤害传递链	18	0	1	0	0	0	0	0	0	0	 	 	0	 	dead	 	 	 	 	 	150	0
41	僵尸男假死	11	0	0	0	1	0	0	0	0	1	1,17	1,17	1	skill2_loop	dead	skill2_start	skill2_end	 	 	 	1000	0
42	黑光锻炼状态	18	0	1	0	0	0	0	0	1	0	 	 	1	duanlian_loop	dead	 	 	 	 	 	99	0
43	猪神封S技状态	18	0	1	0	0	0	0	1	1	0	 	 	1	 	dead	 	 	 	 	 	99	0
