id	grade	school	group	des	poolOneLevel	poolOne	poolTwoLevel	poolTwo	poolThreeLevel	poolThree	poolFourLevel	poolFour	poolFiveLevel	poolFive	poolSixLevel	poolSix	poolSevenLevel	poolSeven	poolEightLevel	poolEight	
10203	1	2	3	1阶2号商店位置3	1,30	10203001,10|10203002,10|10203003,10|10203004,10|10203005,10|10203006,10|10203007,10|10203008,10	31,36	10203301,10|10203302,10|10203303,10|10203304,10|10203305,10|10203306,10|10203307,10|10203308,10	37,80	10203601,10|10203602,10|10203603,10|10203604,10|10203605,10|10203606,10|10203607,10|10203608,10	 	 	 	 	 	 	 	 	 	 
10204	1	2	4	1阶2号商店位置4	1,30	10204001,10|10204002,10|10204003,10|10204004,10|10204005,10|10204006,10|10204007,10|10204008,10	31,36	10204301,10|10204302,10|10204303,10|10204304,10|10204305,10|10204306,10|10204307,10|10204308,10	37,80	10204601,10|10204602,10|10204603,10|10204604,10|10204605,10|10204606,10|10204607,10|10204608,10	 	 	 	 	 	 	 	 	 	 
10205	1	2	5	1阶2号商店位置5	1,30	10201001,10|10201002,10|10201003,10|10201004,10|10201005,10|10201006,10|10201007,10|10201008,10	31,36	10201301,10|10201302,10|10201303,10|10201304,10|10201305,10|10201306,10|10201307,10|10201308,10	37,80	10201601,10|10201602,10|10201603,10|10201604,10|10201605,10|10201606,10|10201607,10|10201608,10	 	 	 	 	 	 	 	 	 	 
10206	1	2	6	1阶2号商店位置6	1,30	10202001,10|10202002,10|10202003,10|10202004,10|10202005,10|10202006,10|10202007,10|10202008,10	31,36	10202301,10|10202302,10|10202303,10|10202304,10|10202305,10|10202306,10|10202307,10|10202308,10	37,80	10202601,10|10202602,10|10202603,10|10202604,10|10202605,10|10202606,10|10202607,10|10202608,10	 	 	 	 	 	 	 	 	 	 
10207	1	2	7	1阶2号商店位置7	1,30	10203001,10|10203002,10|10203003,10|10203004,10|10203005,10|10203006,10|10203007,10|10203008,10	31,36	10203301,10|10203302,10|10203303,10|10203304,10|10203305,10|10203306,10|10203307,10|10203308,10	37,80	10203601,10|10203602,10|10203603,10|10203604,10|10203605,10|10203606,10|10203607,10|10203608,10	 	 	 	 	 	 	 	 	 	 
10208	1	2	8	1阶2号商店位置8	1,30	10204001,10|10204002,10|10204003,10|10204004,10|10204005,10|10204006,10|10204007,10|10204008,10	31,36	10204301,10|10204302,10|10204303,10|10204304,10|10204305,10|10204306,10|10204307,10|10204308,10	37,80	10204601,10|10204602,10|10204603,10|10204604,10|10204605,10|10204606,10|10204607,10|10204608,10	 	 	 	 	 	 	 	 	 	 
10301	1	3	1	1阶3号商店位置1	1,30	10301001,10|10301002,10|10301003,10|10301004,10|10301005,10|10301006,10	31,40	10301101,10|10301102,10|10301103,10|10301104,10|10301105,10|10301106,10	41,80	10301201,10|10301202,10|10301203,10|10301204,10|10301205,10|10301206,10	 	 	 	 	 	 	 	 	 	 
10302	1	3	2	1阶3号商店位置2	1,30	10302001,10|10302002,10|10302003,10|10302004,10|10302005,10|10302006,10	31,40	10302101,10|10302102,10|10302103,10|10302104,10|10302105,10|10302106,10	41,80	10302201,10|10302202,10|10302203,10|10302204,10|10302205,10|10302206,10	 	 	 	 	 	 	 	 	 	 
10303	1	3	3	1阶3号商店位置3	1,30	10303001,10|10303002,10|10303003,10|10303004,10|10303005,10|10303006,10	31,40	10303101,10|10303102,10|10303103,10|10303104,10|10303105,10|10303106,10	41,80	10303201,10|10303202,10|10303203,10|10303204,10|10303205,10|10303206,10	 	 	 	 	 	 	 	 	 	 
10304	1	3	4	1阶3号商店位置4	21,33	10304001,10|10304002,10|10304003,10|10304004,10|10304005,10|10304006,10	34,40	10304101,10|10304102,10|10304103,10|10304104,10|10304105,10|10304106,10	41,80	10304201,10|10304202,10|10304203,10|10304204,10|10304205,10|10304206,10	 	 	 	 	 	 	 	 	 	 
10305	1	3	5	1阶3号商店位置5	1,30	10305001,10|10305002,10|10305003,10	31,40	10305001,10|10305002,10|10305003,10	41,80	10305001,10|10305002,10|10305003,10	 	 	 	 	 	 	 	 	 	 
10306	1	3	6	1阶3号商店位置6	1,30	10306001,10|10306002,10|10306003,10	31,40	10306001,10|10306002,10|10306003,10	41,80	10306001,10|10306002,10|10306003,10	 	 	 	 	 	 	 	 	 	 
10307	1	3	7	1阶3号商店位置7	1,30	10307001,10|10307002,10|10307003,10	31,40	10307001,10|10307002,10|10307003,10	41,80	10307001,10|10307002,10|10307003,10	 	 	 	 	 	 	 	 	 	 
10308	1	3	8	1阶3号商店位置8	1,30	10308001,10|10308002,10|10308003,10	31,40	10308001,10|10308002,10|10308003,10	41,80	10308001,10|10308002,10|10308003,10	 	 	 	 	 	 	 	 	 	 
10309	1	3	9	1阶3号商店位置9	1,30	10309001,10|10309002,10|10309003,10	31,40	10309001,10|10309002,10|10309003,10	41,80	10309001,10|10309002,10|10309003,10	 	 	 	 	 	 	 	 	 	 
10401	1	4	1	1阶4号商店位置1	1,30	10401001,10	31,36	10401001,10	37,80	10401001,10	 	 	 	 	 	 	 	 	 	 
10402	1	4	2	1阶4号商店位置2	1,30	10402001,10	31,36	10402001,10	37,80	10402001,10	 	 	 	 	 	 	 	 	 	 
10403	1	4	3	1阶4号商店位置3	1,30	10403001,10	31,36	10403001,10	37,80	10403001,10	 	 	 	 	 	 	 	 	 	 
10404	1	4	4	1阶4号商店位置4	1,30	10404001,10	31,36	10404001,10	37,80	10404001,10	 	 	 	 	 	 	 	 	 	 
