id	title	name	questType	scheDuling	page	condition	rewardShow	drop	redirectionId	priority	pointType	point	startTime	endTime	titlePicId	
3010	 	招募获得	55	1	1	3010	2	7110	2	1	0	0	43831	401768	0
4001	 	第1天	56	1	1	4001	80101	80101	0	1	0	0	43831	401768	0
4002	 	第2天	56	1	1	4002	80102	80102	0	1	0	0	43831	401768	0
4003	 	第3天	56	1	1	4003	80103	80103	0	1	0	0	43831	401768	0
4004	 	第4天	56	1	1	4004	80104	80104	0	1	0	0	43831	401768	0
4005	 	第5天	56	1	1	4005	80105	80105	0	1	0	0	43831	401768	0
4006	 	第6天	56	1	1	4006	80106	80106	0	1	0	0	43831	401768	0
4007	 	第7天	56	1	1	4007	80107	80107	0	1	0	0	43831	401768	0
4008	 	第8天	56	1	1	4008	80108	80108	0	1	0	0	43831	401768	0
40101	 	第1天登录	46	1	1	40101	0	0	1	40101	46	2	43831	401768	0
40102	 	拥有6个20级角色	46	1	1	40102	0	0	2	40102	46	4	43831	401768	0
40103	 	拥有+1角色3名	46	1	1	40103	0	0	2	40103	46	4	43831	401768	0
40104	 	拥有3个4阶觉醒角色	46	1	1	40104	0	0	2	40104	46	2	43831	401768	0
40105	 	使用特别招募券30次	46	1	1	40105	0	0	52	40105	46	2	43831	401768	0
40106	 	进行料理10次	46	1	1	40106	0	0	64	40106	46	2	43831	401768	0
40107	 	在普通商店购买3次物品	46	1	1	40107	0	0	3	40107	46	1	43831	401768	0
40108	 	参与武道大会3次	46	1	1	40108	0	0	19	40108	46	2	43831	401768	0
40109	 	钻石购买3次体力	46	1	1	40109	0	0	25	40109	46	1	43831	401768	0
40201	 	第2天登录	46	1	2	40201	0	0	1	40201	46	2	43831	401768	0
40202	 	拥有6个30级角色	46	1	2	40202	0	0	2	40202	46	4	43831	401768	0
40203	 	拥有+2角色3名	46	1	2	40203	0	0	2	40203	46	4	43831	401768	0
40204	 	拥有3个7阶觉醒角色	46	1	2	40204	0	0	2	40204	46	2	43831	401768	0
40205	 	使用特别招募券60次	46	1	2	40205	0	0	52	40205	46	2	43831	401768	0
40206	 	通关模拟训练20次	46	1	2	40206	0	0	17	40206	46	2	43831	401768	0
40207	 	通关怪人研究所20次	46	1	2	40207	0	0	40	40207	46	2	43831	401768	0
40208	 	进行料理20次	46	1	2	40208	0	0	64	40208	46	2	43831	401768	0
40209	 	在普通商店购买6次物品	46	1	2	40209	0	0	3	40209	46	1	43831	401768	0
40210	 	参与武道大会6次	46	1	2	40210	0	0	19	40210	46	2	43831	401768	0
40211	 	道馆演武挑战20次	46	1	2	40211	0	0	16	40211	46	2	43831	401768	0
40212	 	钻石购买6次体力	46	1	2	40212	0	0	25	40212	46	1	43831	401768	0
40301	 	第3天登录	46	1	3	40301	0	0	1	40301	46	2	43831	401768	0
40302	 	拥有6个40级角色	46	1	3	40302	0	0	2	40302	46	4	43831	401768	0
40303	 	拥有4个7阶觉醒角色	46	1	3	40303	0	0	2	40303	46	4	43831	401768	0
40304	 	使用特别招募券90次	46	1	3	40304	0	0	52	40304	46	2	43831	401768	0
40305	 	通关模拟训练30次	46	1	3	40305	0	0	17	40305	46	2	43831	401768	0
40306	 	通关怪人研究所15次	46	1	3	40306	0	0	40	40306	46	2	43831	401768	0
40307	 	参与区域攻防3次	46	1	3	40307	0	0	97	40307	46	2	43831	401768	0
40308	 	通关英雄试炼10次	46	1	3	40308	0	0	72	40308	46	2	43831	401768	0
40309	 	在普通商店购买9次物品	46	1	3	40309	0	0	3	40309	46	1	43831	401768	0
40310	 	参与武道大会9次	46	1	3	40310	0	0	19	40310	46	2	43831	401768	0
40311	 	道馆演武挑战40次	46	1	3	40311	0	0	16	40311	46	2	43831	401768	0
40312	 	钻石购买9次体力	46	1	3	40312	0	0	25	40312	46	1	43831	401768	0
40401	 	第4天登录	46	1	4	40401	0	0	1	40401	46	2	43831	401768	0
40402	 	拥有+3角色3名	46	1	4	40402	0	0	2	40402	46	4	43831	401768	0
40403	 	拥有5个7阶觉醒角色	46	1	4	40403	0	0	2	40403	46	4	43831	401768	0
40404	 	使用特别招募券120次	46	1	4	40404	0	0	52	40404	46	2	43831	401768	0
40405	 	通关模拟训练40次	46	1	4	40405	0	0	17	40405	46	2	43831	401768	0
40406	 	通关怪人研究所20次	46	1	4	40406	0	0	40	40406	46	2	43831	401768	0
40407	 	参与区域攻防6次	46	1	4	40407	0	0	97	40407	46	2	43831	401768	0
40408	 	通关英雄试炼20次	46	1	4	40408	0	0	72	40408	46	2	43831	401768	0
40409	 	在普通商店购买12次物品	46	1	4	40409	0	0	3	40409	46	1	43831	401768	0
40410	 	参与武道大会12次	46	1	4	40410	0	0	19	40410	46	2	43831	401768	0
40411	 	道馆演武挑战60次	46	1	4	40411	0	0	16	40411	46	2	43831	401768	0
40412	 	钻石购买12次体力	46	1	4	40412	0	0	25	40412	46	1	43831	401768	0
40501	 	第5天登录	46	1	5	40501	0	0	1	40501	46	2	43831	401768	0
40502	 	拥有6个7阶觉醒角色	46	1	5	40502	0	0	2	40502	46	4	43831	401768	0
40503	 	使用特别招募券150次	46	1	5	40503	0	0	52	40503	46	4	43831	401768	0
40504	 	通关模拟训练50次	46	1	5	40504	0	0	17	40504	46	2	43831	401768	0
40505	 	通关怪人研究所25次	46	1	5	40505	0	0	40	40505	46	2	43831	401768	0
40506	 	参与区域攻防9次	46	1	5	40506	0	0	97	40506	46	2	43831	401768	0
40507	 	通关英雄试炼30次	46	1	5	40507	0	0	72	40507	46	2	43831	401768	0
40508	 	在普通商店购买15次物品	46	1	5	40508	0	0	3	40508	46	1	43831	401768	0
40509	 	参与武道大会15次	46	1	5	40509	0	0	19	40509	46	2	43831	401768	0
40510	 	道馆演武挑战80次	46	1	5	40510	0	0	16	40510	46	2	43831	401768	0
40511	 	无人区探索通关1次	46	1	5	40511	0	0	27	40511	46	2	43831	401768	0
40512	 	钻石购买15次体力	46	1	5	40512	0	0	25	40512	46	1	43831	401768	0
40601	 	第6天登录	46	1	6	40601	0	0	1	40601	46	2	43831	401768	0
40602	 	拥有6个50级角色	46	1	6	40602	0	0	2	40602	46	4	43831	401768	0
40603	 	拥有8个7阶觉醒角色	46	1	6	40603	0	0	2	40603	46	4	43831	401768	0
40604	 	使用特别招募券180次	46	1	6	40604	0	0	52	40604	46	2	43831	401768	0
40605	 	通关模拟训练60次	46	1	6	40605	0	0	17	40605	46	2	43831	401768	0
40606	 	通关怪人研究所30次	46	1	6	40606	0	0	40	40606	46	2	43831	401768	0
40607	 	参与区域攻防12次	46	1	6	40607	0	0	97	40607	46	2	43831	401768	0
40608	 	通关英雄试炼40次	46	1	6	40608	0	0	72	40608	46	2	43831	401768	0
40609	 	在普通商店购买18次物品	46	1	6	40609	0	0	3	40609	46	1	43831	401768	0
40610	 	参与武道大会18次	46	1	6	40610	0	0	19	40610	46	2	43831	401768	0
40611	 	道馆演武挑战100次	46	1	6	40611	0	0	16	40611	46	2	43831	401768	0
40612	 	钻石购买18次体力	46	1	6	40612	0	0	25	40612	46	1	43831	401768	0
40701	 	第7天登录	46	1	7	40701	0	0	1	40701	46	2	43831	401768	0
40702	 	拥有+4角色6名	46	1	7	40702	0	0	2	40702	46	4	43831	401768	0
40703	 	拥有10个7阶觉醒角色	46	1	7	40703	0	0	2	40703	46	4	43831	401768	0
40704	 	使用特别招募券210次	46	1	7	40704	0	0	52	40704	46	2	43831	401768	0
40705	 	通关模拟训练70次	46	1	7	40705	0	0	17	40705	46	2	43831	401768	0
40706	 	通关怪人研究所70次	46	1	7	40706	0	0	40	40706	46	2	43831	401768	0
40707	 	参与区域攻防15次	46	1	7	40707	0	0	97	40707	46	2	43831	401768	0
40708	 	通关英雄试炼50次	46	1	7	40708	0	0	72	40708	46	2	43831	401768	0
40709	 	在普通商店购买21次物品	46	1	7	40709	0	0	3	40709	46	1	43831	401768	0
40710	 	参与武道大会21次	46	1	7	40710	0	0	19	40710	46	2	43831	401768	0
40711	 	道馆演武挑战120次	46	1	7	40711	0	0	16	40711	46	2	43831	401768	0
40712	 	无人区探索通关2次	46	1	7	40712	0	0	27	40712	46	2	43831	401768	0
40713	 	钻石购买21次体力	46	1	7	40713	0	0	25	40713	46	1	43831	401768	0
40801	 	第8天登录	46	1	8	40801	0	0	1	40801	46	2	43831	401768	0
40802	 	拥有12个7阶觉醒角色	46	1	8	40802	0	0	2	40802	46	4	43831	401768	0
40803	 	使用特别招募券240次	46	1	8	40803	0	0	52	40803	46	4	43831	401768	0
40804	 	通关模拟训练80次	46	1	8	40804	0	0	17	40804	46	2	43831	401768	0
40805	 	通关怪人研究所40次	46	1	8	40805	0	0	40	40805	46	2	43831	401768	0
40806	 	参与区域攻防18次	46	1	8	40806	0	0	97	40806	46	2	43831	401768	0
40807	 	通关英雄试炼60次	46	1	8	40807	0	0	72	40807	46	2	43831	401768	0
40808	 	在普通商店购买24次物品	46	1	8	40808	0	0	3	40808	46	1	43831	401768	0
40809	 	参与武道大会24次	46	1	8	40809	0	0	19	40809	46	2	43831	401768	0
40810	 	道馆演武挑战140次	46	1	8	40810	0	0	16	40810	46	2	43831	401768	0
40811	 	钻石购买24次体力	46	1	8	40811	0	0	25	40811	46	1	43831	401768	0
40901	 	第9天登录	46	1	9	40901	0	0	1	40901	46	2	43831	401768	0
40902	 	拥有+5角色2名	46	1	9	40902	0	0	2	40902	46	4	43831	401768	0
40903	 	拥有14个7阶觉醒角色	46	1	9	40903	0	0	2	40903	46	4	43831	401768	0
40904	 	使用特别招募券270次	46	1	9	40904	0	0	52	40904	46	2	43831	401768	0
40905	 	参与区域攻防21次	46	1	9	40905	0	0	97	40905	46	2	43831	401768	0
40906	 	通关英雄试炼70次	46	1	9	40906	0	0	72	40906	46	2	43831	401768	0
40907	 	在普通商店购买27次物品	46	1	9	40907	0	0	3	40907	46	1	43831	401768	0
40908	 	参与武道大会27次	46	1	9	40908	0	0	19	40908	46	2	43831	401768	0
40909	 	道馆演武挑战160次	46	1	9	40909	0	0	16	40909	46	2	43831	401768	0
40910	 	无人区探索通关3次	46	1	9	40910	0	0	27	40910	46	2	43831	401768	0
40911	 	钻石购买27次体力	46	1	9	40911	0	0	25	40911	46	1	43831	401768	0
41001	 	第10天登录	46	1	10	41001	0	0	1	41001	46	2	43831	401768	0
41002	 	拥有+5角色3名	46	1	10	41002	0	0	2	41002	46	4	43831	401768	0
41003	 	使用特别招募券300次	46	1	10	41003	0	0	52	41003	46	4	43831	401768	0
41004	 	通关模拟训练90次	46	1	10	41004	0	0	17	41004	46	2	43831	401768	0
41005	 	参与区域攻防24次	46	1	10	41005	0	0	97	41005	46	2	43831	401768	0
41006	 	通关英雄试炼80次	46	1	10	41006	0	0	72	41006	46	2	43831	401768	0
41007	 	在普通商店购买30次物品	46	1	10	41007	0	0	3	41007	46	1	43831	401768	0
41008	 	参与武道大会30次	46	1	10	41008	0	0	19	41008	46	2	43831	401768	0
41009	 	道馆演武挑战180次	46	1	10	41009	0	0	16	41009	46	2	43831	401768	0
41010	 	钻石购买30次体力	46	1	10	41010	0	0	25	41010	46	1	43831	401768	0
41101	 	第11天登录	46	1	11	41101	0	0	1	41101	46	2	43831	401768	0
41102	 	拥有+5角色4名	46	1	11	41102	0	0	2	41102	46	4	43831	401768	0
41103	 	使用特别招募券330次	46	1	11	41103	0	0	52	41103	46	4	43831	401768	0
41104	 	参与区域攻防27次	46	1	11	41104	0	0	97	41104	46	2	43831	401768	0
41105	 	通关英雄试炼90次	46	1	11	41105	0	0	72	41105	46	2	43831	401768	0
41106	 	在普通商店购买33次物品	46	1	11	41106	0	0	3	41106	46	1	43831	401768	0
41107	 	参与武道大会33次	46	1	11	41107	0	0	19	41107	46	2	43831	401768	0
41108	 	道馆演武挑战200次	46	1	11	41108	0	0	16	41108	46	2	43831	401768	0
41109	 	无人区探索通关4次	46	1	11	41109	0	0	27	41109	46	2	43831	401768	0
41110	 	钻石购买33次体力	46	1	11	41110	0	0	25	41110	46	1	43831	401768	0
41201	 	第12天登录	46	1	12	41201	0	0	1	41201	46	2	43831	401768	0
41202	 	拥有+5角色5名	46	1	12	41202	0	0	2	41202	46	4	43831	401768	0
41203	 	使用特别招募券360次	46	1	12	41203	0	0	52	41203	46	4	43831	401768	0
41204	 	通关模拟训练100次	46	1	12	41204	0	0	17	41204	46	2	43831	401768	0
41205	 	参与区域攻防30次	46	1	12	41205	0	0	97	41205	46	2	43831	401768	0
41206	 	通关英雄试炼100次	46	1	12	41206	0	0	72	41206	46	2	43831	401768	0
41207	 	在普通商店购买36次物品	46	1	12	41207	0	0	3	41207	46	1	43831	401768	0
41208	 	参与武道大会36次	46	1	12	41208	0	0	19	41208	46	2	43831	401768	0
41209	 	道馆演武挑战220次	46	1	12	41209	0	0	16	41209	46	2	43831	401768	0
41210	 	钻石购买36次体力	46	1	12	41210	0	0	25	41210	46	1	43831	401768	0
41301	 	第13天登录	46	1	13	41301	0	0	1	41301	46	2	43831	401768	0
41302	 	拥有+5角色6名	46	1	13	41302	0	0	2	41302	46	4	43831	401768	0
41303	 	使用特别招募券390次	46	1	13	41303	0	0	52	41303	46	4	43831	401768	0
41304	 	参与区域攻防33次	46	1	13	41304	0	0	97	41304	46	2	43831	401768	0
41305	 	通关英雄试炼110次	46	1	13	41305	0	0	72	41305	46	2	43831	401768	0
41306	 	在普通商店购买39次物品	46	1	13	41306	0	0	3	41306	46	1	43831	401768	0
41307	 	参与武道大会39次	46	1	13	41307	0	0	19	41307	46	2	43831	401768	0
41308	 	道馆演武挑战240次	46	1	13	41308	0	0	16	41308	46	2	43831	401768	0
41309	 	无人区探索通关5次	46	1	13	41309	0	0	27	41309	46	2	43831	401768	0
41310	 	钻石购买39次体力	46	1	13	41310	0	0	25	41310	46	1	43831	401768	0
41401	 	第14天登录	46	1	14	41401	0	0	1	41401	46	2	43831	401768	0
41402	 	拥有6个70级角色	46	1	14	41402	0	0	2	41402	46	4	43831	401768	0
41403	 	使用特别招募券420次	46	1	14	41403	0	0	52	41403	46	4	43831	401768	0
41404	 	通关模拟训练110次	46	1	14	41404	0	0	17	41404	46	2	43831	401768	0
41405	 	参与区域攻防36次	46	1	14	41405	0	0	97	41405	46	2	43831	401768	0
41406	 	通关英雄试炼120次	46	1	14	41406	0	0	72	41406	46	2	43831	401768	0
41407	 	在普通商店购买42次物品	46	1	14	41407	0	0	3	41407	46	1	43831	401768	0
41408	 	参与武道大会42次	46	1	14	41408	0	0	19	41408	46	2	43831	401768	0
41409	 	道馆演武挑战260次	46	1	14	41409	0	0	16	41409	46	2	43831	401768	0
41410	 	钻石购买42次体力	46	1	14	41410	0	0	25	41410	46	1	43831	401768	0
93001	每日任务	每日登录	73	1	1	93001	20000230	20000230	0	93001	0	0	43831	401768	0
93002	每日任务	完成所有日常任务	73	1	1	93002	20000231	20000231	78	93002	0	0	43831	401768	0
93003	每日任务	领取60分钟治安委派奖励	73	1	1	93003	20000231	20000231	15	93003	0	0	43831	401768	0
93004	 	道馆演武胜利100次	73	1	1	93004	20000232	20000232	16	93004	0	0	43831	401768	0
93005	 	拥有12件紫色及以上+6源核	73	1	1	93005	20000232	20000232	2	93005	0	0	43831	401768	0
93006	 	拥有6个突破+5角色	73	1	1	93006	20000232	20000232	2	93006	0	0	43831	401768	0
93007	 	通关战栗的龙卷演练中心	73	1	1	93007	20000232	20000232	140	93007	0	0	43831	401768	0
93008	 	通关全息调查28章	73	1	1	93008	20000232	20000232	12	93008	0	0	43831	401768	0
93051	每日任务	每日登录	73	2	1	93051	20000230	20000230	0	93051	0	0	43831	401768	0
93052	每日任务	完成所有日常任务	73	2	1	93052	20000231	20000231	78	93052	0	0	43831	401768	0
93053	每日任务	领取60分钟治安委派奖励	73	2	1	93053	20000231	20000231	15	93053	0	0	43831	401768	0
93054	 	累计消耗体力1800体力	73	2	1	93054	20000232	20000232	12	93054	0	0	43831	401768	0
93055	 	拥有24件紫色+6源核	73	2	1	93055	20000232	20000232	2	93055	0	0	43831	401768	0
93056	 	拥有6个突破+6角色	73	2	1	93056	20000232	20000232	2	93056	0	0	43831	401768	0
93057	 	通关超合金黑光演练中心	73	2	1	93057	20000232	20000232	141	93057	0	0	43831	401768	0
93058	 	武道大会段位到达王者	73	2	1	93058	20000232	20000232	19	93058	0	0	43831	401768	0
93101	每日任务	每日登录	73	3	1	93101	20000230	20000230	0	93101	0	0	43831	401768	0
93102	每日任务	完成所有日常任务	73	3	1	93102	20000231	20000231	78	93102	0	0	43831	401768	0
93103	每日任务	领取60分钟治安委派奖励	73	3	1	93103	20000231	20000231	15	93103	0	0	43831	401768	0
93104	 	累计消耗体力1800体力	73	3	1	93104	20000232	20000232	12	93104	0	0	43831	401768	0
93105	 	拥有42件紫色+9源核	73	3	1	93105	20000232	20000232	2	93105	0	0	43831	401768	0
93106	 	拥有6个突破+7角色	73	3	1	93106	20000232	20000232	2	93106	0	0	43831	401768	0
93107	 	通关闪光弗莱士演练中心	73	3	1	93107	20000232	20000232	142	93107	0	0	43831	401768	0
93108	 	参与区域攻防40次	73	3	1	93108	20000232	20000232	97	93108	0	0	43831	401768	0
93151	每日任务	每日登录	141	3	1	93151	20000230	20000230	0	93151	0	0	43831	401768	0
93152	每日任务	完成所有日常任务	141	3	1	93152	20000231	20000231	78	93152	0	0	43831	401768	0
93153	每日任务	领取60分钟治安委派奖励	141	3	1	93153	20000231	20000231	15	93153	0	0	43831	401768	0
93154	 	累计消耗体力1800体力	141	3	1	93154	20000232	20000232	12	93154	0	0	43831	401768	0
93155	 	拥有42件紫色+9源核	141	3	1	93155	20000232	20000232	2	93155	0	0	43831	401768	0
93156	 	拥有6个突破+7角色	141	3	1	93156	20000232	20000232	2	93156	0	0	43831	401768	0
93157	 	通关闪光弗莱士演练中心	141	3	1	93157	20000232	20000232	142	93157	0	0	43831	401768	0
93158	 	参与区域攻防40次	141	3	1	93158	20000232	20000232	97	93158	0	0	43831	401768	0
91001	 	等级达到10级	79	1	1	91001	20000131	20000131	14	91001	0	0	43831	401768	0
91002	 	等级达到15级	79	1	1	91002	20000028	20000028	14	91002	0	0	43831	401768	0
91003	 	等级达到20级	79	1	1	91003	20000028	20000028	14	91003	0	0	43831	401768	0
91004	 	等级达到25级	79	1	1	91004	20000028	20000028	14	91004	0	0	43831	401768	0
91005	 	等级达到30级	79	1	1	91005	20000028	20000028	14	91005	0	0	43831	401768	0
91006	 	等级达到35级	79	1	1	91006	20000029	20000029	14	91006	0	0	43831	401768	0
91007	 	等级达到40级	79	1	1	91007	20000029	20000029	14	91007	0	0	43831	401768	0
91008	 	等级达到45级	79	1	1	91008	20000029	20000029	14	91008	0	0	43831	401768	0
91009	 	等级达到50级	79	1	1	91009	20000029	20000029	14	91009	0	0	43831	401768	0
91010	 	等级达到55级	79	1	1	91010	20000029	20000029	14	91010	0	0	43831	401768	0
91011	 	等级达到60级	79	1	1	91011	20000029	20000029	14	91011	0	0	43831	401768	0
92001	 	通关全息调查第5章	80	1	1	92001	20000031	20000031	12	92001	0	0	43831	401768	0
92002	 	通关全息调查第6章	80	1	1	92002	20000030	20000030	12	92002	0	0	43831	401768	0
92003	 	通关全息调查第7章	80	1	1	92003	20000030	20000030	12	92003	0	0	43831	401768	0
92004	 	通关全息调查第8章	80	1	1	92004	20000030	20000030	12	92004	0	0	43831	401768	0
92005	 	通关全息调查第9章	80	1	1	92005	20000030	20000030	12	92005	0	0	43831	401768	0
92006	 	通关全息调查第10章	80	1	1	92006	20000030	20000030	12	92006	0	0	43831	401768	0
92007	 	通关全息调查第11章	80	1	1	92007	20000030	20000030	12	92007	0	0	43831	401768	0
92008	 	通关全息调查第12章	80	1	1	92008	20000030	20000030	12	92008	0	0	43831	401768	0
92009	 	通关全息调查第13章	80	1	1	92009	20000030	20000030	12	92009	0	0	43831	401768	0
92010	 	通关全息调查第14章	80	1	1	92010	20000030	20000030	12	92010	0	0	43831	401768	0
92011	 	通关全息调查第15章	80	1	1	92011	20000030	20000030	12	92011	0	0	43831	401768	0
92012	 	通关全息调查第16章	80	1	1	92012	20000030	20000030	12	92012	0	0	43831	401768	0
92013	 	通关全息调查第17章	80	1	1	92013	20000030	20000030	12	92013	0	0	43831	401768	0
92014	 	通关全息调查第18章	80	1	1	92014	20000030	20000030	12	92014	0	0	43831	401768	0
92015	 	通关全息调查第19章	80	1	1	92015	20000030	20000030	12	92015	0	0	43831	401768	0
92016	 	通关全息调查第20章	80	1	1	92016	20000030	20000030	12	92016	0	0	43831	401768	0
92017	 	通关全息调查第21章	80	1	1	92017	20000030	20000030	12	92017	0	0	43831	401768	0
92018	 	通关全息调查第22章	80	1	1	92018	20000030	20000030	12	92018	0	0	43831	401768	0
92019	 	通关全息调查第23章	80	1	1	92019	20000030	20000030	12	92019	0	0	43831	401768	0
92020	 	通关全息调查第24章	80	1	1	92020	20000030	20000030	12	92020	0	0	43831	401768	0
92021	 	通关全息调查第25章	80	1	1	92021	20000030	20000030	12	92021	0	0	43831	401768	0
92022	 	通关全息调查第26章	80	1	1	92022	20000030	20000030	12	92022	0	0	43831	401768	0
92023	 	通关全息调查第27章	80	1	1	92023	20000030	20000030	12	92023	0	0	43831	401768	0
92024	 	通关全息调查第28章	80	1	1	92024	20000030	20000030	12	92024	0	0	43831	401768	0
92025	 	通关全息调查第29章	80	1	1	92025	20000030	20000030	12	92025	0	0	43831	401768	0
92026	 	通关全息调查第30章	80	1	1	92026	20000030	20000030	12	92026	0	0	43831	401768	0
50101	 	累计充值达到36元	75	1	1	50101	20000072	20000072	51	50101	0	0	43831	401768	0
50102	 	累计充值达到70元	75	1	1	50102	20000073	20000073	51	50102	0	0	43831	401768	0
50103	 	累计充值达到108元	75	1	1	50103	20000074	20000074	51	50103	0	0	43831	401768	0
50104	 	累计充值达到168元	75	1	1	50104	20000075	20000075	51	50104	0	0	43831	401768	0
50105	 	累计充值达到348元	75	1	1	50105	20000076	20000076	51	50105	0	0	43831	401768	0
50106	 	累计充值达到668元	75	1	1	50106	20000077	20000077	51	50106	0	0	43831	401768	0
50107	 	累计充值达到1300元	75	1	1	50107	20000078	20000078	51	50107	0	0	43831	401768	0
50108	 	累计充值达到1999元	75	1	1	50108	20000233	20000233	51	50108	0	0	43831	401768	0
50109	 	累计充值达到2998元	75	1	1	50109	20000234	20000234	51	50109	0	0	43831	401768	0
50121	 	累计充值达到36元	75	2	1	50121	20000340	20000340	51	50121	0	0	43831	401768	0
50122	 	累计充值达到70元	75	2	1	50122	20000341	20000341	51	50122	0	0	43831	401768	0
50123	 	累计充值达到108元	75	2	1	50123	20000342	20000342	51	50123	0	0	43831	401768	0
50124	 	累计充值达到168元	75	2	1	50124	20000343	20000343	51	50124	0	0	43831	401768	0
50125	 	累计充值达到348元	75	2	1	50125	20000344	20000344	51	50125	0	0	43831	401768	0
50126	 	累计充值达到668元	75	2	1	50126	20000345	20000077	51	50126	0	0	43831	401768	0
50127	 	累计充值达到1300元	75	2	1	50127	20000346	20000346	51	50127	0	0	43831	401768	0
50128	 	累计充值达到1999元	75	2	1	50128	20000347	20000347	51	50128	0	0	43831	401768	0
50129	 	累计充值达到2998元	75	2	1	50129	20000348	20000348	51	50129	0	0	43831	401768	0
50131	 	累计充值500元	145	1	1	50131	20000543	20000543	51	50131	0	0	43831	401768	0
50132	 	累计充值2000元	145	1	1	50132	20000544	20000544	51	50132	0	0	43831	401768	0
50133	 	累计充值5000元	145	1	1	50133	20000545	20000545	51	50133	0	0	43831	401768	0
50134	 	累计充值10000元	145	1	1	50134	20000546	20000546	51	50134	0	0	43831	401768	0
50135	 	累计充值15000元	145	1	1	50135	20000547	20000547	51	50135	0	0	43831	401768	0
50136	 	累计充值20000元	145	1	1	50136	20000548	20000548	51	50136	0	0	43831	401768	0
50137	 	累计充值25000元	145	1	1	50137	20000549	20000549	51	50137	0	0	43831	401768	0
50138	 	累计充值35000元	145	1	1	50138	20000550	20000550	51	50138	0	0	43831	401768	0
94001	 	段位到达青铜I	84	1	1	94001	110201	110201	19	94001	0	0	43831	401768	0
94002	 	段位到达白银II	84	1	1	94002	110202	110202	19	94002	0	0	43831	401768	0
94003	 	段位到达白银I	84	1	1	94003	110203	110203	19	94003	0	0	43831	401768	0
94004	 	段位到达黄金II	84	1	1	94004	110204	110204	19	94004	0	0	43831	401768	0
94005	 	段位到达黄金I	84	1	1	94005	110205	110205	19	94005	0	0	43831	401768	0
94006	 	段位到达铂金III	84	1	1	94006	110206	110206	19	94006	0	0	43831	401768	0
94007	 	段位到达铂金II	84	1	1	94007	110207	110207	19	94007	0	0	43831	401768	0
94008	 	段位到达铂金I	84	1	1	94008	110208	110208	19	94008	0	0	43831	401768	0
94009	 	段位到达王者	84	1	1	94009	110209	110209	19	94009	0	0	43831	401768	0
94010	 	每日参与5次	84	2	1	94010	20000693	20000693	19	94010	0	0	43831	401768	0
94011	 	每日胜利3次	84	2	1	94011	20000694	20000694	19	94011	0	0	43831	401768	0
94012	 	连续胜利10次	84	2	1	94012	20000695	20000695	19	94012	0	0	43831	401768	0
94013	 	累计参与50次	84	2	1	94013	20000696	20000696	19	94013	0	0	43831	401768	0
94014	 	累计胜利30次	84	2	1	94014	20000697	20000697	19	94014	0	0	43831	401768	0
94015	 	段位到达青铜I	84	2	1	94015	20000698	20000698	19	94015	0	0	43831	401768	0
94016	 	段位到达白银I	84	2	1	94016	20000699	20000699	19	94016	0	0	43831	401768	0
94017	 	段位到达黄金I	84	2	1	94017	20000700	20000700	19	94017	0	0	43831	401768	0
