id	posListRed	posListBlue	frontAllRed	frontAllBlue	BFCenterRed	BFCenterBlue	BFCenter	cameraListRed	cameraListBlue	posListRedSummon	posListBlueSummon	sceneConfig	sceneConfigEnemy	lineupType	lineupTypeEnemy	
11	1.95,0,-3.12,0,0,0|-1.95,0,-3.12,0,0,0|4.5,0,-3.8,0,0,0|-4.5,0,-3.8,0,0,0|2,0,-5.6,0,0,0|-2,0,-5.6,0,0,0	1.93,0,3.12,0,180,0|-1.95,0,3.12,0,180,0|4.5,0,3.8,0,180,0|-4.5,0,3.8,0,180,0|2,0,5.6,0,180,0|-2,0,5.6,0,180,0	0,0,-0.84,0,0,0	0,0,1.77,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	3.82,4,-11,17,-20,0,42,0.01,1000	-1.94,4,11.33,17,170.3,0,46,0.01,1000	1	1
12	0,0,-5.9,0,0,0|1.94,0,-3.43,0,0,0|-1.94,0,-3.43,0,0,0|3.75,0,-4.5,0,0,0|-3.75,0,-4.5,0,0,0|0,0,-1.94,0,0,0	0,0,5.9,0,180,0|-1.94,0,3.43,0,180,0|1.94,0,3.43,0,180,0|-3.75,0,4.5,0,180,0|3.75,0,4.5,0,180,0|0,0,1.94,0,180,0	0,0,0.3,0,0,0	0,0,0.3,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-4,0,0,0	0,0,-.5,0,180,0	4.9,4,-10,17,-27.54,0,42,0.01,1000	-1.94,4,11.33,17,170.3,0,46,0.01,1000	0	0
13	1.95,0,-3.12,0,0,0|-1.95,0,-3.12,0,0,0|4.5,0,-3.8,0,0,0|-4.5,0,-3.8,0,0,0|2,0,-5.6,0,0,0|-2,0,-5.6,0,0,0	0,0,5.9,0,180,0|-1.94,0,3.43,0,180,0|1.94,0,3.43,0,180,0|-3.75,0,4.5,0,180,0|3.75,0,4.5,0,180,0|0,0,1.94,0,180,0	0,0,-0.84,0,0,0	0,0,0.3,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	3.82,4,-11,17,-20,0,42,0.01,1000	-1.94,4,11.33,17,170.3,0,46,0.01,1000	1	0
14	0,0,-5.9,0,0,0|1.94,0,-3.43,0,0,0|-1.94,0,-3.43,0,0,0|3.75,0,-4.5,0,0,0|-3.75,0,-4.5,0,0,0|0,0,-1.94,0,0,0	-0.15,0,5.4,0,180,0|1.9,0,4.15,0,180,0|-2.46,0,3.9,0,180,0|4.34,0,3.2,0,180,0|-4.46,0,3.2,0,180,0|-0.38,0,2.96,0,180,0	0,0,0.3,0,0,0	0,0,1.77,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-4,0,0,0	0,0,-.5,0,180,0	4.9,4,-10,17,-27.54,0,42,0.01,1000	-1.94,4,11.33,17,170.3,0,46,0.01,1000	0	0
15	0.14,0,-5.6,0,0,0|-1.86,0,-4.8,0,0,0|2.34,0,-4.73,0,0,0|-4.46,0,-3.41,0,0,0|4.34,0,-3.41,0,0,0|0.14,0,-3.15,0,0,0	1.93,0,3.12,0,180,0|-1.95,0,3.12,0,180,0|4.5,0,3.8,0,180,0|-4.5,0,3.8,0,180,0|2,0,5.6,0,180,0|-2,0,5.6,0,180,0	0,0,-0.84,0,0,0	0,0,1.77,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	 	 	0	1
16	0.14,0,-5.6,0,0,0|-1.86,0,-4.8,0,0,0|2.34,0,-4.73,0,0,0|-4.46,0,-3.41,0,0,0|4.34,0,-3.41,0,0,0|0.14,0,-3.15,0,0,0	0,0,5.9,0,180,0|-1.94,0,3.43,0,180,0|1.94,0,3.43,0,180,0|-3.75,0,4.5,0,180,0|3.75,0,4.5,0,180,0|0,0,1.94,0,180,0	0,0,-0.84,0,0,0	0,0,0.3,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-4,0,0,0	0,0,-.5,0,180,0	 	 	0	0
17	0,0,-5.9,0,0,0|1.94,0,-3.43,0,0,0|-1.94,0,-3.43,0,0,0|3.75,0,-4.5,0,0,0|-3.75,0,-4.5,0,0,0|0,0,-1.94,0,0,0	-0.15,0,5.4,0,180,0|1.9,0,4.15,0,180,0|-2.46,0,3.9,0,180,0|4.34,0,3.2,0,180,0|-4.46,0,3.2,0,180,0|-0.38,0,2.96,0,180,0	0,0,0.3,0,0,0	0,0,1.77,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-4,0,0,0	0,0,-.5,0,180,0	4.01,3.67,-10.79,10,-20.47,0,46,0.01,1000	-1.94,4,11.33,17,170.3,0,46,0.01,1000	0	0
18	0.14,0,-5.6,0,0,0|-1.86,0,-4.8,0,0,0|2.34,0,-4.73,0,0,0|-4.46,0,-3.41,0,0,0|4.34,0,-3.41,0,0,0|0.14,0,-3.15,0,0,0	-0.15,0,5.4,0,180,0|1.9,0,4.15,0,180,0|-2.46,0,3.9,0,180,0|4.34,0,3.2,0,180,0|-4.46,0,3.2,0,180,0|-0.38,0,2.96,0,180,0	0,0,-0.84,0,0,0	0,0,1.77,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	1.5,2,-10,9.5,-12.54,0,46,0.01,1000	-1.94,4,11.33,17,170.3,0,46,0.01,1000	0	0
19	0,0,-5.9,0,0,0|1.94,0,-3.43,0,0,0|-1.94,0,-3.43,0,0,0|3.75,0,-4.5,0,0,0|-3.75,0,-4.5,0,0,0|0,0,-1.94,0,0,0	-0.15,0,5.4,0,180,0|1.9,0,4.15,0,180,0|-2.46,0,3.9,0,180,0|4.34,0,3.2,0,180,0|-4.46,0,3.2,0,180,0|-0.38,0,2.96,0,180,0	0,0,0.3,0,0,0	0,0,1.77,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-4,0,0,0	0,0,-.5,0,180,0	2.53,4.67,-12.37,15,-13.5,0,46,0.01,1000	-1.94,4,11.33,17,170.3,0,46,0.01,1000	0	0
20	1.95,0,-3.12,0,0,0|-1.95,0,-3.12,0,0,0|4.5,0,-3.8,0,0,0|-4.5,0,-3.8,0,0,0|2,0,-5.6,0,0,0|-2,0,-5.6,0,0,0	0,0,5,0,180,0|1.95,0,3.12,0,180,0|-1.95,0,3.12,0,180,0|0,0,1.5,0,180,0|-3.75,0,4.5,0,-180,0|3.75,0,4.5,0,-180,0	0,0,-0.84,0,0,0	0,0,0.3,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	 	 	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	3.82,4,-11,17,-20,0,42,0.01,1000	-1.94,4,11.33,17,170.3,0,46,0.01,1000	1	0
21	4.48,0,7.23,0,0,0|1.97,0,6.8,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0	-35.9,35,114,-71.67,65.16,-8.2|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0	0,0,-0.84,0,0,0	0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0	 	 	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	12.43,3.52,2.35,0.5726,-35.03946,0,42,0.01,1000	-1.94,4,11.33,17,170.3,0,46,0.01,1000	0	0
22	0,0,-5.9,0,0,0|1.94,0,-3.43,0,0,0|-1.94,0,-3.43,0,0,0|3.75,0,-4.5,0,0,0|-3.75,0,-4.5,0,0,0|0,0,-1.94,0,0,0	-2.25,0,2.69,0,180,0|1.9,0,3.58,0,180,0|-2.46,0,3.9,0,180,0|4.34,0,3.2,0,180,0|-4.46,0,3.2,0,180,0|-0.38,0,2.96,0,180,0	0,0,0.3,0,0,0	0,0,1.77,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-4,0,0,0	0,0,-.5,0,180,0	4.01,3.67,-10.79,10,-20.47,0,46,0.01,1000	-1.94,4,11.33,17,170.3,0,46,0.01,1000	0	0
