id	config_name	helpid	speicid	helpid	speicid	name	modelResource	modelResourceScale	modelResourceRadius	animatorResource	switchEffect	idleEffect	headResource	headResource_4	perloadId	endPerformance	selectCollider	battleBornAni	battleBornEffect	battleDeadEffect	battleSkillStartScale	battleSkillStartRoate	battleSkillStartPosition	sSkipCutUp	isHugeBoss	
1000165	埼玉卡片_结算	00011	1	0001	0	认真拳	100011000	1	1	700011040	 	 	313000100	321000101	1000111	qiyu_card_win	0.5,2,1	born_show	 	 	2	-4	-174|-353	1,-200,-80	0
1000166	埼玉（视频播放_结算）	00011	1	0001	0	认真拳	100011000	1	1	700011040	 	 	313000100	321000101	1000111	battledialog_video_play	0.5,2,1	born_show	 	 	2	-4	-174|-353	1,-200,-80	0
1000167	埼玉_卤蛋头_剧情11	00011	3	0001	3	埼玉	100013000	1	1	700011040	 	 	313000103	321000103	1000111	qiyu_story11_win	0.5,2,1	born_show	 	 	2	-4	-174|-355	1,-200,-80	0
1000168	埼玉_卤蛋头_剧情13	00011	3	0001	3	埼玉	100013000	1	1	700011040	 	 	313000103	321000103	1000111	qiyu_story13_win	0.5,2,1	born_show	 	 	2	-4	-174|-355	1,-200,-80	0
1000141	埼玉_西装	00011	1	0001	0	埼玉	100011000	1	1	700011040	 	 	313000100	321000101	1000111	 	0.5,2,1	born_show	 	 	3	0	-33|-1317	1,-120,-470	0
1000142	埼玉_西装（全动作）	00010	5	0001	5	埼玉	100015000	1	1	700010500	 	 	313000105	321000103	1000111	 	0.5,2,1	born_show	 	 	3	0	-33|-1317	1,-120,-470	0
1000143	埼玉_衬衫	00010	6	0001	6	埼玉	100016000	1	1	700010500	 	 	313000106	321000106	1000111	 	0.5,2,1	born_show	 	 	3	0	-33|-1317	1,-120,-470	0
1000211	杰诺斯·武装	00021	1	0002	0	杰诺斯	100021000	1	1	700021010	 	 	313000200	321000201	1000312	jienuosi_win	0.5,2,1	born_show	 	 	3	0	0|-1160	1,-120,-470	0
1000212	杰诺斯·武装（展示）	00021	1	0002	0	杰诺斯	100021000	1	1	700021020	 	 	313000200	321000201	1000312	jienuosi_win	0.5,2,1	born_show	 	 	3	0	0|-1160	1,-120,-470	0
1000221	杰诺斯·武装（S技能）	00022	2	0002	2	杰诺斯	100022000	1	1	700022010	 	 	313000202	321000202	1000312	jienuosi_win	0.5,2,1	born_show	 	 	3	0	0|-1160	1,-120,-470	0
1000311	战栗的龙卷	00031	1	0003	0	战栗的龙卷	100031000	1	1	700031010	 	 	313000300	321000301	1000312	zhanlidelongjuan_win	0.5,2,1	born_show	 	 	3	0	-130|-980	1,-180,-430	0
1000312	战栗的龙卷（展示）	00031	1	0003	0	战栗的龙卷	100031000	1	1	700031020	 	 	313000300	321000301	1000312	zhanlidelongjuan_win	0.5,2,1	born_show	 	 	3	0	-130|-980	1,-180,-430	0
1000313	战栗的龙卷（剧情）	00031	1	0003	0	战栗的龙卷	100031000	1	1	700031030	 	 	313000300	321000301	1000312	zhanlidelongjuan_win	0.5,2,1	born_show	 	 	3	0	-130|-980	1,-180,-430	0
1000321	战栗的龙卷（星月魔女皮肤）	00032	2	0003	2	战栗的龙卷	100032000	1	1	700032010	 	 	313000300	321000301	1000312	zhanlidelongjuan_xingyuemonv_win	0.5,2,1	born_show	 	 	3	0	-130|-980	1,-180,-430	0
1000322	战栗的龙卷（星月魔女皮肤展示）	00032	2	0003	2	战栗的龙卷	100032000	1	1	700032020	 	 	313000300	321000301	1000312	zhanlidelongjuan_xingyuemonv_win	0.5,2,1	born_show	 	 	3	0	-130|-980	1,-180,-430	0
1000411	银色獠牙	00041	1	0004	0	银色獠牙	100042000	1	1	700041010	 	 	313000400	321000401	1000411	yinseliaoya_win	0.5,2,1	born_show	 	 	2	8	420|-670	1,35,-520	0
1000421	银色獠牙（肌肉）	00041	1	0004	0	银色獠牙	100041000	1	1	700041010	 	 	313000400	321000401	1000411	yinseliaoya_win	0.5,2,1	born_show	 	 	2	8	420|-670	1,35,-520	0
1000412	银色獠牙（展示）	00041	2	0004	2	银色獠牙	100042000	1	1	700041020	 	 	313000402	321000402	1000412	yinseliaoya_win	0.5,2,1	born_show	 	 	2	8	420|-670	1,35,-520	0
1000413	银色獠牙（技能3s）	00043	3	0004	3	银色獠牙	100043000	1	1	700043010	 	 	313000403	321000403	1000412	yinseliaoya_win	0.5,2,1	born_show	 	 	2	8	420|-670	1,35,-520	0
1000511	KING	00051	1	0005	0	KING	100051000	1	1	700051010	 	 	313000500	321000501	1000611	king_win	0.5,2,1	born_show	 	 	3	0	-40|-1285	1.2,-160,-700	0
1000512	KING（展示）	00051	1	0005	0	KING	100051000	1	1	700051020	 	 	313000500	321000501	1000612	king_win	0.5,2,1	born_show	 	 	3	0	-40|-1285	1.2,-160,-700	0
1000611	原子武士	00061	1	0006	0	原子武士	100061000	1	1	700061010	 	 	313000600	321000601	1000611	yuanziwushi_win	0.5,2,1	born_show	 	 	2	0	-120|-870	1,-180,-445	0
1000612	原子武士（展示）	00061	1	0006	0	原子武士	100061000	1	1	700061020	 	 	313000600	321000601	1000612	yuanziwushi_win	0.5,2,1	born_show	 	 	2	0	-120|-870	1,-180,-445	0
1000711	金属骑士	00071	1	0007	0	金属骑士	100071000	1	1	700071010	 	 	313000700	321000701	1000811	jinshuqishi_win	0.5,2,1	born_show	 	 	2	0	-120|-430	1,-200,-250	0
1000712	金属骑士（展示）	00071	1	0007	0	金属骑士	100071000	1	1	700071020	 	 	313000700	321000701	1000812	jinshuqishi_win	0.5,2,1	born_show	 	 	2	0	-120|-430	1,-200,-250	0
1000721	金属骑士召唤物	00072	2	0007	2	物资机器人	100072000	1	1	700072010	 	 	313000702	321000702	1000812	jinshuqishi_win	0.5,2,1	born_show	210007032,point_root,0,0|210007031,point_spine3,1,1	 	2	0	-120|-430	1,-200,-250	0
1000811	金属球棒	00081	1	0008	0	金属球棒	100081000	1	1	700081010	210008016,point_root,1,1	210008004,point_root,1,1	313000800	321000801	1000811	jinshuqiubang_win	0.5,2,1	born_show	 	 	2	5	-45|-1020	1,-180,-530	0
1000812	金属球棒（展示）	00081	1	0008	0	金属球棒	100081000	1	1	700081020	210008016,point_root,1,1	210008004,point_root,1,1	313000800	321000801	1000812	jinshuqiubang_win	0.5,2,1	born_show	 	 	2	5	-45|-1020	1,-180,-530	0
1000911	性感囚犯	00091	1	0009	0	性感囚犯	100091000	1	1	700091010	 	 	313000900	321000901	1001111	xingganqiufan_win	0.5,2,1	born_show	 	 	2	5	-45|-850	1,-180,-530	0
1000912	性感囚犯（展示）	00091	1	0009	0	性感囚犯	100091000	1	1	700091020	 	 	313000900	321000901	1001112	xingganqiufan_win	0.5,2,1	born_show	 	 	2	5	-45|-850	1,-180,-530	0
1000913	性感囚犯（天使形态）	00091	1	0009	0	性感囚犯	100091000	1	1	700092010	 	 	313000900	321000901	1001111	xingganqiufan_win	0.5,2,1	born_show	 	 	2	5	-45|-850	1,-180,-530	0
1000921	性感囚犯_全裸	00091	2	0009	2	性感囚犯	100092000	1	1	700091010	 	 	313000902	321000902	1001111	xingganqiufan_win	0.5,2,1	born_show	 	 	2	5	-45|-850	1,-180,-530	0
1001011	甜心假面	00101	1	0010	0	甜心假面	100101000	1	1	700101010	 	 	313001000	321001001	1001111	tianxinjiamian_win	0.5,2,1	born_show	 	 	3	6	-32|-1190	1.2,-210,-660	0
1001012	甜心假面（展示）	00101	1	0010	0	甜心假面	100101000	1	1	700101020	 	 	313001000	321001001	1001112	tianxinjiamian_win	0.5,2,1	born_show	 	 	3	6	-32|-1190	1.2,-210,-660	0
1001111	闪电麦克斯（闪电麦克斯）	00111	1	0011	0	闪电麦克斯	100111000	1	1	700111010	 	 	313001100	321001101	1001111	shandianmax_win	0.5,2,1	born_show	 	 	3	0	-140|-1025	1,-210,-445	0
1001112	闪电麦克斯（闪电麦克斯）（展示）	00111	1	0011	0	闪电麦克斯	100111000	1	1	700111020	 	 	313001100	321001101	1001112	shandianmax_win	0.5,2,1	born_show	 	 	3	0	-140|-1025	1,-210,-445	0
1001113	闪电麦克斯（闪电麦克斯）（剧情）	00111	1	0011	0	闪电麦克斯	100111000	1	1	700111030	 	 	313001100	321001101	1001111	shandianmax_win	0.5,2,1	born_show	 	 	3	0	-140|-1025	1,-210,-445	0
1001211	居合庵（居合庵）	00121	1	0012	0	居合庵	100121000	1	1	700121010	 	 	313001200	321001201	1001211	juhean_win	0.5,2,1	born_show	 	 	3	0	-140|-1200	1,-210,-445	0
1001212	居合庵（居合庵）（展示）	00121	1	0012	0	居合庵	100121000	1	1	700121020	 	 	313001200	321001201	1001212	juhean_win	0.5,2,1	born_show	 	 	3	0	-140|-1200	1,-210,-445	0
1001311	毒刺（毒刺）	00131	1	0013	0	毒刺	100131000	1	1	700131010	 	 	313001300	321001301	1001311	duci_win	0.5,2,1	born_show	 	 	3	0	-140|-1040	1,-110,-440	0
1001312	毒刺（毒刺）（展示）	00131	1	0013	0	毒刺	100131000	1	1	700131020	 	 	313001300	321001301	1001312	duci_win	0.5,2,1	born_show	 	 	3	0	-140|-1040	1,-110,-440	0
1001411	黄金球	00141	1	0014	0	黄金球	100141000	1	1	700141010	 	 	313001400	321001401	1001311	huangjinqiu_win	0.5,2,1	born_show	 	 	2	-8	-140|-985	1,-100,-530	0
1001412	黄金球（展示）	00141	1	0014	0	黄金球	100141000	1	1	700141020	 	 	313001400	321001401	1001312	huangjinqiu_win	0.5,2,1	born_show	 	 	2	-8	-140|-985	1,-100,-530	0
1001511	弹簧胡子	00151	1	0015	0	弹簧胡子	100151000	1	1	700151010	 	 	313001500	321001501	1001511	tanhuanghuzi_win	0.5,2,1	born_show	 	 	3	0	-140|-905	1,-160,-360	0
1001512	弹簧胡子（展示）	00151	1	0015	0	弹簧胡子	100151000	1	1	700151020	 	 	313001500	321001501	1001512	tanhuanghuzi_win	0.5,2,1	born_show	 	 	3	0	-140|-905	1,-160,-360	0
1001611	蛇咬拳史涅克（蛇咬拳斯奈克）	00161	1	0016	0	蛇咬拳史涅克	100161000	1	1	700161010	 	 	313001600	321001601	1001611	sineike_win	0.5,2,1	born_show	 	 	2	-4	-160|-920	1,-160,-490	0
1001612	蛇咬拳史涅克（蛇咬拳斯奈克）（展示）	00161	1	0016	0	蛇咬拳史涅克	100161000	1	1	700161020	 	 	313001600	321001601	1001612	sineike_win	0.5,2,1	born_show	 	 	2	-4	-160|-920	1,-160,-490	0
1001711	青焰	00171	1	0017	0	青焰	100171000	1	1	700171010	 	 	313001700	321001701	1001711	qingyan_win	0.5,2,1	born_show	 	 	2	0	-75|-885	1,-130,-445	0
1001712	青焰（展示）	00171	1	0017	0	青焰	100171000	1	1	700171020	 	 	313001700	321001701	1001712	qingyan_win	0.5,2,1	born_show	 	 	2	0	-75|-885	1,-130,-445	0
1001811	雷光源氏	00181	1	0018	0	雷光源氏	100181000	0	1	700181010	 	 	313001800	321001801	1001711	leiguangyuanshi_win	0.5,2,1	born_show	 	 	2	0	70|-820	0.8,-130,-340	0
1001812	雷光源氏（展示）	00181	1	0018	0	雷光源氏	100181000	0	1	700181020	 	 	313001800	321001801	1001712	leiguangyuanshi_win	0.5,2,1	born_show	 	 	2	0	70|-820	0.8,-130,-340	0
1001911	微笑超人（微笑超人）	00191	1	0019	0	微笑超人	100191000	1	1	700191010	 	 	313001900	321001901	1001911	weixiaochaoren_win	0.5,2,1	born_show	 	 	2	0	-10|-875	1,-160,-450	0
1001912	微笑超人（微笑超人）（展示）	00191	1	0019	0	微笑超人	100191000	1	1	700191020	 	 	313001900	321001901	1001912	weixiaochaoren_win	0.5,2,1	born_show	 	 	2	0	-10|-875	1,-160,-450	0
1001913	微笑超人（微笑超人）（剧情）	00191	1	0019	0	微笑超人	100191000	1	1	700191030	 	 	313001900	321001901	1001911	weixiaochaoren_win	0.5,2,1	born_show	 	 	2	0	-10|-875	1,-160,-450	0
1002011	重型金刚（重型金刚）	00201	1	0020	0	重型金刚	100201000	1	1	700201010	 	 	313002000	321002001	1001911	zhongliangjingang_win	0.5,2,1	born_show	 	 	2	10	200|-995	1,-160,-500	0
1002012	重型金刚（重型金刚）（展示）	00201	1	0020	0	重型金刚	100201000	1	1	700201020	 	 	313002000	321002001	1001912	zhongliangjingang_win	0.5,2,1	born_show	 	 	2	10	200|-995	1,-160,-500	0
1002111	地狱的吹雪	00211	1	0021	0	地狱的吹雪	100211000	1	1	700211010	 	 	313002100	321002101	1002111	diyudechuixue_win	0.5,2,1	born_show	 	 	2	0	90|-920	1,-40,-500	0
1002112	地狱的吹雪（展示）	00211	1	0021	0	地狱的吹雪	100211000	1	1	700211020	 	 	313002100	321002101	1002112	diyudechuixue_win	0.5,2,1	born_show	 	 	2	0	90|-920	1,-40,-500	0
1002113	地狱的吹雪（社团）	00213	3	0021	3	地狱的吹雪	100213000	1	1	700213020	 	 	313002103	321002103	1002112	diyudechuixue_win	0.5,2,1	born_show	 	 	2	0	90|-920	1,-40,-500	0
1002121	地狱的吹雪（圣诞节皮肤）	00212	2	0021	2	地狱的吹雪	100212000	1	1	700212010	 	 	313002102	321002102	1002111	diyudechuixue_shengdan_win	0.5,2,1	born_show	 	 	2	0	90|-920	1,-40,-500	0
1002122	地狱的吹雪（圣诞节皮肤）（展示）	00212	2	0021	2	地狱的吹雪	100212000	1	1	700212020	 	 	313002102	321002102	1002112	diyudechuixue_shengdan_win	0.5,2,1	born_show	 	 	2	0	90|-920	1,-40,-500	0
1002211	冲天好小子（冲天好小子）	00221	1	0022	0	冲天好小子	100221000	1	1	700221010	 	 	313002200	321002201	1002111	chongtianxiaozi_win	0.5,2,1	born_show	 	 	2	0	-125|-955	1,-200,-500	0
1002212	冲天好小子（冲天好小子）（展示）	00221	1	0022	0	冲天好小子	100221000	1	1	700221020	 	 	313002200	321002201	1002112	chongtianxiaozi_win	0.5,2,1	born_show	 	 	2	0	-125|-955	1,-200,-500	0
1002311	背心黑洞	00231	1	0023	0	背心黑洞	100231000	1	1	700231010	 	 	313002300	321002301	1002311	beixinheidong_win	0.5,2,1	born_show	 	 	3	0	46|-1140	1,-200,-445	0
1002312	背心黑洞（展示）	00231	1	0023	0	背心黑洞	100231000	1	1	700231020	 	 	313002300	321002301	1002312	beixinheidong_win	0.5,2,1	born_show	 	 	3	0	46|-1140	1,-200,-445	0
1002321	背心黑洞（技能换模型）	00232	1	0023	0	背心黑洞	100231000	1	1	700232010	 	 	313002300	321002301	1002311	beixinheidong_win	0.5,2,1	born_show	 	 	3	0	46|-1140	1,-200,-445	0
1002411	睫毛	00241	1	0024	0	睫毛	100241000	1	1	700241010	 	 	313002400	321002401	1002411	jiemao_win	0.5,2,1	born_show	 	 	3	4	140|-1200	1,-140,-510	0
1002412	睫毛（展示）	00241	1	0024	0	睫毛	100241000	1	1	700241020	 	 	313002400	321002401	1002412	jiemao_win	0.5,2,1	born_show	 	 	3	4	140|-1200	1,-140,-510	0
1002511	山猿	00251	1	0025	0	山猿	100251000	1	1	700251010	 	 	313002500	321002501	1002411	shanyuan_win	0.5,2,1	born_show	 	 	3	0	35|-997	1,-200,-445	0
1002512	山猿（展示）	00251	1	0025	0	山猿	100251000	1	1	700251020	 	 	313002500	321002501	1002412	shanyuan_win	0.5,2,1	born_show	 	 	3	0	35|-997	1,-200,-445	0
1002611	三节棍莉莉	00261	1	0026	0	三节棍莉莉	100261000	1	1	700261010	 	 	313002600	321002601	1002411	sanjiegunlili_win	0.5,2,1	born_show	 	 	3	-3	-195|-960	1,-95,-430	0
1002612	三节棍莉莉（展示）	00261	1	0026	0	三节棍莉莉	100261000	1	1	700261020	 	 	313002600	321002601	1002412	sanjiegunlili_win	0.5,2,1	born_show	 	 	3	-3	-195|-960	1,-95,-430	0
1002711	蘑菇	00271	1	0027	0	蘑菇	100271000	1	1	700271010	 	 	313002700	321002701	1002711	mogu_win	0.5,2,1	born_show	 	 	2	0	-140|-640	0.8,-150,-290	0
1002712	蘑菇（展示）	00271	1	0027	0	蘑菇	100271000	1	1	700271020	 	 	313002700	321002701	1002712	mogu_win	0.5,2,1	born_show	 	 	2	0	-140|-640	0.8,-150,-290	0
1002811	无证骑士（无证骑士）	00281	1	0028	0	无证骑士	100281000	1	1	700281010	 	 	313002800	321002801	1002811	wuzhengqishi_win	0.5,2,1	born_show	 	 	3	0	-240|-1060	1,-170,-450	0
1002812	无证骑士（无证骑士）（展示）	00282	2	0028	2	无证骑士	100282000	1	1	700282020	 	 	313002802	321002802	1002812	wuzhengqishi_win	0.5,2,1	born_show	 	 	3	0	-240|-1060	1,-170,-450	0
1002813	无证骑士（无证骑士）（剧情）	00281	1	0028	0	无证骑士	100281000	1	1	700281030	 	 	313002800	321002801	1002811	wuzhengqishi_win	0.5,2,1	born_show	 	 	3	0	-240|-1060	1,-170,-450	0
1002821	无证骑士_带自行车（无证骑士）	00282	2	0028	2	无证骑士	100282000	1	1	700282010	 	 	313002802	321002802	1002821	wuzhengqishi_win	0.5,2,1	born_show	 	 	3	0	-240|-1060	1,-170,-450	0
1002911	背心之虎	00291	1	0029	0	背心之虎	100291000	1	1	700291010	 	 	313002900	321002901	1002911	beixinmenghu_win	0.5,2,1	born_show	 	 	3	0	130|-1135	1,-40,-450	0
1002912	背心之虎（展示）	00291	1	0029	0	背心之虎	100291000	1	1	700291020	 	 	313002900	321002901	1002912	beixinmenghu_win	0.5,2,1	born_show	 	 	3	0	130|-1135	1,-40,-450	0
1003011	大背头男	00301	1	0030	0	大背头男	100301000	1	1	700301010	 	 	313003000	321003001	1003011	youtouxia_win	0.5,2,1	born_show	 	 	3	0	30|-1135	1,-40,-450	0
1003012	大背头男（展示）	00301	1	0030	0	大背头男	100301000	1	1	700301020	 	 	313003000	321003001	1003012	youtouxia_win	0.5,2,1	born_show	 	 	3	0	30|-1135	1,-40,-450	0
1003111	嗡嗡侠	00311	1	0031	0	嗡嗡侠	100311000	1	1	700311010	 	 	313003100	321003101	1003012	kuaiquanxia_win	0.5,2,1	born_show	 	 	3	-3	-40|-1120	1,-200,-445	0
1003112	嗡嗡侠（展示）	00311	1	0031	0	嗡嗡侠	100311000	1	1	700311020	 	 	313003100	321003101	1003012	kuaiquanxia_win	0.5,2,1	born_show	 	 	3	-3	-40|-1120	1,-200,-445	0
1003211	十字键	00321	1	0032	0	十字键	100321000	1	1	700321010	 	 	313003200	321003201	1003211	shizijian_win	0.5,2,1	born_show	 	 	2	7	25|-840	1,-40,-320	0
1003212	十字键（展示）	00321	1	0032	0	十字键	100321000	1	1	700321020	 	 	313003200	321003201	1003212	shizijian_win	0.5,2,1	born_show	 	 	2	7	25|-840	1,-40,-320	0
1003311	电池侠（电池侠）	00331	1	0033	0	电池侠	100331000	1	1	700331010	 	 	313003300	321003301	1003311	dianchichaoren_win	0.5,2,1	born_show	 	 	2	5	-120|-960	1,-40,-470	0
1003312	电池侠（电池侠）（展示）	00331	1	0033	0	电池侠	100331000	1	1	700331020	 	 	313003300	321003301	1003312	dianchichaoren_win	0.5,2,1	born_show	 	 	2	5	-120|-960	1,-40,-470	0
1003411	装甲股长	00341	1	0034	0	装甲股长	100341000	1	1	700341010	 	 	313003400	321003401	1003311	wuzhuangsz_win	0.5,2,1	born_show	 	 	2	0	-120|-930	0.9,-120,-375	0
1003412	装甲股长（展示）	00341	1	0034	0	装甲股长	100341000	1	1	700341020	 	 	313003400	321003401	1003312	wuzhuangsz_win	0.5,2,1	born_show	 	 	2	0	-120|-930	0.9,-120,-375	0
1003511	丧服吊带裤	00351	1	0035	0	丧服吊带裤	100351000	1	1	700351010	 	 	313003500	321003501	1003511	sangfudiaodai_win	0.5,2,1	born_show	 	 	3	0	-120|-1150	1,-145,-470	0
1003512	丧服吊带裤（展示）	00351	1	0035	0	丧服吊带裤	100351000	1	1	700351020	 	 	313003500	321003501	1003512	sangfudiaodai_win	0.5,2,1	born_show	 	 	3	0	-120|-1150	1,-145,-470	0
1003611	臭鼬男孩防毒面具	00361	1	0036	0	臭鼬男孩防毒面具	100361000	1	1	700361010	 	 	313003600	321003601	1003511	fangdumianju_win	0.5,2,1	born_show	 	 	2,5	0	-130|-890	1,-145,-470	0
1003612	臭鼬男孩防毒面具（展示）	00361	1	0036	0	臭鼬男孩防毒面具	100361000	1	1	700361020	 	 	313003600	321003601	1003512	fangdumianju_win	0.5,2,1	born_show	 	 	2,5	0	-130|-890	1,-145,-470	0
1003711	乌马洪（乌马洪）	00371	1	0037	0	乌马洪	100371000	1	1	700371010	 	 	313003700	321003701	1003711	wumahong_win	0.5,2,1	born_show	 	 	2	0	-80|-960	1,-145,-470	0
1003712	乌马洪（乌马洪）（展示）	00371	1	0037	0	乌马洪	100371000	1	1	700371020	 	 	313003700	321003701	1003712	wumahong_win	0.5,2,1	born_show	 	 	2	0	-80|-960	1,-145,-470	0
1003811	火男面	00381	1	0038	0	火男面	100381000	1	1	700381010	 	 	313003800	321003801	1003711	huonanmian_win	0.5,2,1	born_show	 	 	3	0	-180|-1200	1,-200,-445	0
1003812	火男面（展示）	00381	1	0038	0	火男面	100381000	1	1	700381020	 	 	313003800	321003801	1003712	huonanmian_win	0.5,2,1	born_show	 	 	3	0	-180|-1200	1,-200,-445	0
1003911	音速的索尼克	00391	1	0039	0	音速索尼克	100391000	1	1	700391010	 	 	313003900	321003901	1003911	suonike_win	0.5,2,1	born_show	 	 	3	0	-220|-950	1,-200,-445	0
1003912	音速的索尼克（展示）	00391	1	0039	0	音速索尼克	100391000	1	1	700391020	 	 	313003900	321003901	1003912	suonike_win	0.5,2,1	born_show	 	 	3	0	-220|-950	1,-200,-445	0
1003913	音速的索尼克影子1	00391	1	0039	0	音速索尼克	100391000	1	1	700391010	 	 	313003900	321003901	1003911	suonike_win	0.5,2,1	idle_y1_loop	210039011,point_root,0,0	210039012,point_root,0,0	3	0	-220|-950	1,-200,-445	0
1003914	音速的索尼克影子2	00391	1	0039	0	音速索尼克	100391000	1	1	700391010	 	 	313003900	321003901	1003911	suonike_win	0.5,2,1	idle_y2_loop	210039011,point_root,0,0	210039012,point_root,0,0	3	0	-220|-950	1,-200,-445	0
1003915	音速的索尼克影子3	00391	1	0039	0	音速索尼克	100391000	1	1	700391010	 	 	313003900	321003901	1003911	suonike_win	0.5,2,1	idle_y3_loop	210039011,point_root,0,0	210039012,point_root,0,0	3	0	-220|-950	1,-200,-445	0
1003916	音速的索尼克影子4	00391	1	0039	0	音速索尼克	100391000	1	1	700391010	 	 	313003900	321003901	1003911	suonike_win	0.5,2,1	idle_y4_loop	210039011,point_root,0,0	210039012,point_root,0,0	3	0	-220|-950	1,-200,-445	0
1003917	音速的索尼克（囚徒）	00392	2	0039	2	音速索尼克	100392000	1	1	700392010	 	 	313003902	321003902	1003911	suonike_win	0.5,2,1	born_show	 	 	3	0	-220|-950	1,-200,-445	0
1004011	钉锤头	00401	1	0040	0	钉锤头	100401000	1	1	700401010	 	 	313004000	321004001	1004011	dingtouchui_win	0.5,2,1	born_show	 	 	2	0	-120|-670	0.8,-135,-230	0
1004012	钉锤头（展示）	00401	1	0040	0	钉锤头	100401000	1	1	700401020	 	 	313004000	321004001	1004012	dingtouchui_win	0.5,2,1	born_show	 	 	2	0	-120|-670	0.8,-135,-230	0
1004111	茶岚子（茶岚子）	00411	1	0041	0	茶岚子	100411000	1	1	700411010	 	 	313004100	321004101	1004111	chalanzi_win	0.5,2,1	born_show	 	 	2	12	30|-865	1,-200,-445	0
1004112	茶岚子（茶岚子）（展示）	00411	1	0041	0	茶岚子	100411000	1	1	700411020	 	 	313004100	321004101	1004112	chalanzi_win	0.5,2,1	born_show	 	 	2	12	30|-865	1,-200,-445	0
1004211	超合金黑光	00421	1	0042	0	超合金黑光	100421000	1	1	700421010	 	 	313004200	321004201	1004211	chaohejin_win	0.5,2,1	born_show	 	 	2	12	30|-865	1,-200,-445	0
1004212	超合金黑光（展示）	00421	1	0042	0	超合金黑光	100421000	1	1	700421020	 	 	313004200	321004201	1004212	chaohejin_win	0.5,2,1	born_show	 	 	2	12	30|-865	1,-200,-445	0
1004311	猪神	00431	1	0043	0	猪神	100431000	1	1	700431010	 	 	313004300	321004301	1004311	zhushen_win	0.5,2,1	born_show	 	 	2	12	30|-865	1,-200,-445	0
1004312	猪神（展示）	00431	2	0043	2	猪神	100432000	1	1	700431020	 	 	313004302	321004302	1004312	zhushen_win	0.5,2,1	born_show	 	 	2	12	30|-865	1,-200,-445	0
1004511	僵尸男	00451	1	0045	0	僵尸男	100451000	1	1	700451010	 	 	313004500	321004501	10045111	jiangshinan_win	0.5,2,1	born_show	 	 	2	12	30|-865	1,-200,-445	0
1004512	僵尸男（展示）	00451	1	0045	0	僵尸男	100451000	1	1	700451020	 	 	313004500	321004501	1004512	jiangshinan_win	0.5,2,1	born_show	 	 	2	12	30|-865	1,-200,-445	0
1004611	童帝	00461	1	0046	0	童帝	100461000	1	1	700461010	 	 	313004600	321004601	1004611	tongdi_win	0.5,2,1	born_show	 	 	2	12	30|-865	1,-200,-445	0
1004612	童帝（展示）	00461	1	0046	0	童帝	100461000	1	1	700461020	 	 	313004600	321004601	1004612	tongdi_win	0.5,2,1	born_show	 	 	2	12	30|-865	1,-200,-445	0
1004711	背心尊者	00471	1	0047	0	背心尊者	100471000	1	1	700471010	 	 	313004700	321004701	1004711	beixinzunzhe_win	0.5,2,1	born_show	 	 	2	12	30|-865	1,-200,-445	0
