id	beizhu	question	type	answer1	answer2	answer3	rightAnswer	
301	地狱的吹雪1	下列哪件事对埼玉触动最大？	1	自己不是S级	怪人越战越勇	错过超市打折	3
302	地狱的吹雪2	杰诺斯接受改造的最大理由是？	1	复仇	喜欢机械	不甘平凡	1
303	地狱的吹雪3	以下哪一个打败过杰诺斯？	1	深海王	金属骑士	性感囚犯	1
304	地狱的吹雪4	吹雪小姐的全称是？	1	地狱的吹雪	战栗的吹雪	龙卷的吹雪	1
305	地狱的吹雪5	以下谁是宇宙暗物质海贼团的成员？	1	格洛里巴斯	兽王	古代王	1
306	地狱的吹雪6	以下不是S级英雄的是：	1	背心黑洞	警犬侠	猪神	1
307	地狱的吹雪7	以下哪个是A级英雄？	1	电池侠	三节棍莉莉	弹簧胡子	3
308	地狱的吹雪8	斯奈克的称号是？	1	蛇皮男	蛇拳师	蛇咬拳	3
309	地狱的吹雪9	以下哪个是背心尊者的小弟？	1	背心黑洞	甜心假面	丧服吊带裤 	1
310	地狱的吹雪10	金属球棒是什么等级？	1	A级	S级	C级	2
401	青焰1	毒刺的武器是什么？	1	长剑	竹笋枪	锥子	2
402	青焰2	以下谁学过流水岩碎拳？	1	茶岚子	居合庵	斯奈克	1
403	青焰3	深海王的灾害等级是？	1	龙	虎	鬼	3
404	青焰4	袭击Z市的陨石的灾害等级是？	1	龙	虎	神	1
405	青焰5	弹簧胡子的武器是？	1	长枪	刺剑	火枪	2
406	青焰6	黄金球的战斗方式是？	1	超能力	射击	体育运动	2
407	青焰7	埼玉击败过的最强对手是？	1	音速索尼克	波罗斯	阿修罗独角仙	2
408	青焰8	英雄协会的总部在哪？	1	A市	B市	C市	1
409	青焰9	性感囚犯是什么等级？	1	A级	S级	C级	2
410	青焰10	斯奈克的具体排名是？	1	A级5位	B级末位	A级末位	3
501	黄金球1	C级首位是？	1	微笑超人	无证骑士	喷射好小子	2
502	黄金球2	B级首位是？	1	地狱的吹雪	假面甜心	雷光源氏	1
503	黄金球3	A级首位是？	1	暗黑之刃	毒刺	假面甜心	3
504	黄金球4	S级首位是？	1	KING	战栗的龙卷	爆散	3
505	黄金球5	为什么无证骑士不升到B级？	1	被人阻挠	实力不足	舍不得C级	2
506	黄金球6	为什么地狱的吹雪不升到A级？	1	被人阻挠	为了维护吹雪组	协会腐败	2
507	黄金球7	为什么假面甜心不升到S级？	1	被人阻挠	阻止弱者升为S级	舍不得A级	2
508	黄金球8	地底人与埼玉交手，战绩如何？	1	投降逃跑	势均力敌	略处下风	1
509	黄金球9	进化之家的最强战力是？	1	打折超市	阿修罗独角仙	蚊女	2
510	黄金球10	进化之家毁灭后，基诺斯博士的去向？	1	重建实验室	贩卖章鱼烧	化身怪人	2
601	微笑超人1	原子武士的招牌招式是？	1	居合斩	燕返斩	原子斩	3
602	微笑超人2	黄金球的秘密武器是？	1	十字弹弓	记忆金属弹丸	黄金手套	2
603	微笑超人3	弹簧胡子的招牌招式是？	1	踏步突刺	弹簧突刺	踏无暴威	3
604	微笑超人4	KING的著名能力是？	1	王者引擎	机械改造	连击至死	1
605	微笑超人5	KING被人们誉为？	1	地上最强	怪人克星	游戏大神	1
606	微笑超人6	童帝的年龄是？	1	15岁	10岁	8岁	2
607	微笑超人7	通常金属骑士会在什么情况下出手？	1	协会召集时	建设新基地时	测试新兵器时	3
608	微笑超人8	螃蟹怪人的变异原因是？	1	受到核辐射	吃了太多螃蟹	人类污染环境	2
609	微笑超人9	光头猩的目的是？	1	巨大化	毁灭城市	成为最强	3
610	微笑超人10	地底人的目的是？	1	灭绝人类	夺取地球霸权	挑战强者	2
701	甜心假面1	地底人自称为？	1	地球的化身	真正的地球人	地上的主人	2
702	甜心假面2	关于蚊女的说法，错误的是？	1	无限再生	吸血维生	操控蚊群	1
703	甜心假面3	关于阿修罗独角仙的说法，错误的是？	1	会暴走一星期	能让超市打折	拥有更强形态	2
704	甜心假面4	关于无限昆布的说法，错误的是？	1	敏捷的身手	钢铁般的硬度	海带有毒	3
705	甜心假面5	埼玉拯救的第一个被怪人袭击的人是？	1	警局职员	英雄协会职员	长着屁股下巴的小孩	3
706	甜心假面6	埼玉的锻炼要诀，不包括：	1	多吃肉	俯卧撑	不开空调	1
707	甜心假面7	埼玉为什么在意钉锤头一行人？	1	作恶多端	他们以光头为标志	力量强大	2
708	甜心假面8	埼玉为什么感到空虚？	1	知名度太低	生活太过贫穷	总会一拳结束战斗	3
709	甜心假面9	埼玉变强用了多久？	1	5年	10年	3年	3
710	甜心假面10	埼玉击败蚊女时说了什么？	1	“蚊子好烦”	“一不小心……”	“啊，抱歉”	1
801	杰诺斯1	阿修罗独角仙被封存在哪？	1	基诺斯实验室	进化之家地下	进化之家顶层	2
802	杰诺斯2	埼玉加入英雄协会的目的是？	1	增长见闻	被协会拜托	提高知名度	3
803	杰诺斯3	埼玉的英雄考试分数是？	1	60分	70分	71分	3
804	杰诺斯4	以下关于C级英雄的说法，正确的是：	1	都很有正义感	要保持活跃维持评分	要第一时间响应	2
805	杰诺斯5	音速索尼克为什么屡次袭击埼玉？	1	想和埼玉交手	被人雇佣	修行需要	1
806	杰诺斯6	深海王袭击了哪座城市？	1	A市	B市	J市	3
807	杰诺斯7	埼玉是如何赶到深海王现身现场的？	1	长跑	胁迫深海族运送	坐无证骑士自行车	3
808	杰诺斯8	体育馆内，英雄们是如何面对深海王的？	1	劝诫	躲藏不出	死战不退	3
809	杰诺斯9	是谁给了陨石决定性的一击？	1	杰诺斯	埼玉	金属骑士	2
810	杰诺斯10	埼玉如何解释自己做英雄的原因？	1	兴趣使然	补贴家用	行侠仗义	1
901	杰诺斯武装1	性感囚犯被关入监狱的原因？	1	作恶多端	偶尔会暴走	主动要求被关	3
902	杰诺斯武装2	雷电麦克斯的秘密武器是？	1	无与伦比的正义感	特别制作的鞋子	矫健的身手	2
903	杰诺斯武装3	杰诺斯的能量来源是？	1	源源不断的正义感	协会提供的电池	身体里的核心	3
904	杰诺斯武装4	梅尔扎尔加尔德的能力是什么？	1	分裂和自愈	重力操控	复制招式	1
905	杰诺斯武装5	关于格洛里巴斯，以下说法正确的是：	1	拥有超能力	是来自地底的怪人	来不及出手就被埼玉击败	3
906	杰诺斯武装6	波罗斯说自己来到地球的目的是什么？	1	征服地球	和强者战斗	招募地球上的怪人	2
907	杰诺斯武装7	宇宙暗黑物质海贼团三大战斗员不包括：	1	格洛里巴斯	梅尔扎尔加尔德	波罗斯	3
908	杰诺斯武装8	无证骑士的车叫什么名字？	1	英雄号MKII	英雄号	正义号	3
909	杰诺斯武装9	关于重建的英雄协会本部，以下说法正确的是：	1	由金属骑士改建	配备了自动防卫系统	S级英雄全部入驻	1
910	杰诺斯武装10	以下不属于进化之家的是：	1	戏耍蛞蝓	兽王	光头猩	3
