id	tpye	rewardShow	activityTaskId	scheDuling	name	picture	coordinate	bg	size	coordinateS	sizeS	coordinateH	sizeH	
30	2	20000391	110406	2	区域攻防	321000401	906,-205	330900159	1150,1100	880,-230	1150,1100	742,-107	1350,1200
31	2	20000392	110407	2	区域攻防	321000401	906,-205	330900159	1150,1100	880,-230	1150,1100	742,-107	1350,1200
32	2	20000393	110408	2	区域攻防	321000401	906,-205	330900159	1150,1100	880,-230	1150,1100	742,-107	1350,1200
33	2	20000448	110501	3	正义角逐	321000601	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
34	2	20000449	110502	3	正义角逐	321000601	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
35	2	20000450	110503	3	正义角逐	321000601	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
36	2	20000451	110504	3	正义角逐	321000601	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
37	2	20000452	110505	3	正义角逐	321000601	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
38	2	20000453	110506	3	正义角逐	321000601	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
39	2	20000454	110507	3	正义角逐	321000601	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
40	2	20000455	110508	3	正义角逐	321000601	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
41	1	20000456	110601	3	觉醒挑战	321003901	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
42	1	20000457	110602	3	觉醒挑战	321003901	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
43	1	20000458	110603	3	觉醒挑战	321003901	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
44	1	20000459	110604	3	觉醒挑战	321003901	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
45	1	20000460	110605	3	觉醒挑战	321003901	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
46	1	20000461	110606	3	觉醒挑战	321003901	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
47	1	20000462	110607	3	觉醒挑战	321003901	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
48	1	20000463	110608	3	觉醒挑战	321003901	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
