id	drop	rewardShow	score	array	row	front	payGift	payGiftShow	rechargeId	isCrossNode	drop2	rewardShow2	line	circle	
26	30000126	30000126	3	12	2	23	30001001	30001001	20016	0	30000126	30000126	11,2|12,2	 
27	30000127	30000127	3	12	4	24	30001002	30001002	20017	0	30000127	30000127	11,4|12,4	 
28	30000128	30000128	3	12	6	25	0	 	0	0	30000128	30000128	11,6|12,6	 
29	30000129	30000129	4	13	2	26	0	 	0	0	30000129	30000129	12,2|13,2	 
30	30000130	30000130	4	13	4	27	0	 	0	0	30000130	30000130	12,4|13,4	 
31	30000131	30000131	4	13	6	28	0	 	0	0	30000131	30000131	12,6|13,6	 
32	30000132	30000132	4	14	2	29	0	 	0	0	30000132	30000132	13,2|14,2	 
33	30000133	30000133	4	14	4	30	0	 	0	0	30000133	30000133	13,4|14,4	 
34	30000134	30000134	4	14	6	31	30001003	30001003	20018	0	30000134	30000134	13,6|14,6	 
35	30000135	30000135	5	15	2	32	0	 	0	0	30000135	30000135	14,2|15,2	 
36	30000136	30000136	5	15	5	33,34	0	 	0	0	30000136	30000136	14,4|15,4|15,4|15,5|15,5|15,6|14,6|15,6	 
37	30000137	30000137	4	16	4	35,36	0	 	0	0	30000137	30000137	15,2|15.5,2|15.5,2|15.5,4|15.5,4|15.5,5|15,5|15.5,5	15.5,4
38	30000138	30000138	4	17	2	37	0	 	0	0	30000138	30000138	16,2|16,4|16,2|17,2	 
39	30000139	30000139	4	17	4	37	0	 	0	0	30000139	30000139	16,4|17,4	 
40	30000140	30000140	4	17	6	37	0	 	0	0	30000140	30000140	16,4|16,6|16,6|17,6	 
41	30000141	30000141	4	18	2	38	0	 	0	0	30000141	30000141	17,2|18,2	 
42	30000142	30000142	4	18	4	39	0	 	0	0	30000142	30000142	17,4|18,4	 
43	30000143	30000143	4	18	6	40	0	 	0	0	30000143	30000143	17,6|18,6	 
44	30000144	30000144	5	19	2	41	0	 	0	0	30000144	30000144	18,2|19,2	 
45	30000145	30000145	5	19	4	42	0	 	0	0	30000145	30000145	18,4|19,4	 
46	30000146	30000146	5	19	6	43	0	 	0	0	30000146	30000146	18,6|19,6	 
47	30000147	30000147	5	20	4	44,45,46	0	 	0	0	30000147	30000147	19,2|19.5,2|19.5,2|19.5,4|19.5,4|19.5,6|19,4|19.5,4|19,6|19.5,6	19.5,4
48	30000148	30000148	4	21	1	47	0	 	0	0	30000148	30000148	20,1|20,4|20,1|21,1	 
49	30000149	30000149	4	21	3	47	0	 	0	0	30000149	30000149	20,3|20,4|20,3|21,3	 
50	30000150	30000150	4	21	5	47	30001004	30001004	20039	0	30000150	30000150	20,4|20,5|20,5|21,5	 
51	30000151	30000151	4	21	7	47	0	 	0	0	30000151	30000151	20,4|20,7|20,7|21,7	 
52	30000152	30000152	4	22	1	48	0	 	0	0	30000152	30000152	21,1|22,1	 
53	30000153	30000153	4	22	3	49	0	 	0	0	30000153	30000153	21,3|22,3	 
54	30000154	30000154	4	22	5	50	0	 	0	0	30000154	30000154	21,5|22,5	 
55	30000155	30000155	4	22	7	51	0	 	0	0	30000155	30000155	21,7|22,7	 
56	30000156	30000156	4	23	1	52	0	 	0	0	30000156	30000156	22,1|23,1	 
57	30000157	30000157	4	23	3	53	0	 	0	0	30000157	30000157	22,3|23,3	 
58	30000158	30000158	4	23	5	54	0	 	0	0	30000158	30000158	22,5|23,5	 
59	30000159	30000159	4	23	7	55	0	 	0	0	30000159	30000159	22,7|23,7	 
60	30000160	30000160	4	24	2	56,57	0	 	0	0	30000160	30000160	23,1|24,1|24,1|24,2|23,3|24,3|24,2|24,3	 
61	30000161	30000161	4	24	6	58,59	0	 	0	0	30000161	30000161	23,5|24,5|24,5|24,6|23,7|24,7|24,6|24,7	 
62	30000162	30000162	5	25	2	60	0	 	0	0	30000162	30000162	24,2|25,2	 
63	30000163	30000163	5	25	6	61	0	 	0	0	30000163	30000163	24,6|25,6	 
64	30000164	30000164	5	26	4	62,63	30001005	30001005	20040	0	30000164	30000164	25,2|25.5,2|25.5,2|25.5,4|25.5,4|25.5,6|25,6|25.5,6	25.5,4
65	30000165	30000165	4	27	2	64	0	 	0	0	30000165	30000165	26,2|26,4|26,2|27,2	 
66	30000166	30000166	4	27	5	64	0	 	0	0	30000166	30000166	26,4|26,5|26,5|27,5	 
67	30000167	30000167	4	27	7	64	0	 	0	0	30000167	30000167	26,4|26,7|26,7|27,7	 
68	30000168	30000168	5	28	2	65	0	 	0	0	30000168	30000168	27,2|28,2	 
69	30000169	30000169	5	28	5	66	0	 	0	0	30000169	30000169	27,5|28,5	 
70	30000170	30000170	5	28	7	67	0	 	0	0	30000170	30000170	27,7|28,7	 
71	30000171	30000171	5	29	2	68	0	 	0	0	30000171	30000171	28,2|29,2	 
72	30000172	30000172	5	29	5	69	0	 	0	0	30000172	30000172	28,5|29,5	 
73	30000173	30000173	5	29	7	70	0	 	0	0	30000173	30000173	28,7|29,7	 
74	30000174	30000174	5	30	1	71	0	 	0	0	30000174	30000174	29,1|29,2|29,1|30,1	 
75	30000175	30000175	6	30	3	71	0	 	0	0	30000175	30000175	29,2|29,3|29,3|30,3	 
76	30000176	30000176	5	30	5	72	0	 	0	0	30000176	30000176	29,5|30,5	 
77	30000177	30000177	6	30	7	73	0	 	0	0	30000177	30000177	29,7|30,7	 
78	30000178	30000178	6	31	1	74	0	 	0	0	30000178	30000178	30,1|31,1	 
79	30000179	30000179	6	31	3	75	0	 	0	0	30000179	30000179	30,3|31,3	 
80	30000180	30000180	6	31	5	76	0	 	0	0	30000180	30000180	30,5|31,5	 
81	30000181	30000181	6	31	7	77	0	 	0	0	30000181	30000181	30,7|31,7	 
